policy_name,policy_label,seed,scenario,scenario_label,agent_id,policy_class_name,score,infrastructure,production_sites,advanced_sites,innovation
learned_q,Learned Q policy,500001,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,17,6,1,1,7
learned_q,Learned Q policy,500001,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,11,4,0,1,6
learned_q,Learned Q policy,500002,need_based,Need-based,0,NeedBasedTradePolicy,14,9,1,1,4
learned_q,Learned Q policy,500002,need_based,Need-based,1,NeedBasedTradePolicy,33,10,1,3,4
learned_q,Learned Q policy,500002,need_based,Need-based,2,NeedBasedTradePolicy,17,8,0,2,1
learned_q,Learned Q policy,500002,need_based,Need-based,3,NeedBasedTradePolicy,14,6,1,1,7
learned_q,Learned Q policy,500002,need_based,Need-based,4,NeedBasedTradePolicy,17,6,1,1,12
learned_q,Learned Q policy,500002,cooperative,Cooperative,0,CooperativeTradePolicy,36,10,2,3,4
learned_q,Learned Q policy,500002,cooperative,Cooperative,1,CooperativeTradePolicy,28,10,2,2,10
learned_q,Learned Q policy,500002,cooperative,Cooperative,2,CooperativeTradePolicy,6,4,1,0,6
learned_q,Learned Q policy,500002,cooperative,Cooperative,3,CooperativeTradePolicy,30,8,1,3,5
learned_q,Learned Q policy,500002,cooperative,Cooperative,4,CooperativeTradePolicy,30,8,1,3,4
learned_q,Learned Q policy,500002,hoarding,Hoarding,0,HoardingTradePolicy,6,3,1,0,5
learned_q,Learned Q policy,500002,hoarding,Hoarding,1,HoardingTradePolicy,43,16,2,4,2
learned_q,Learned Q policy,500002,hoarding,Hoarding,2,HoardingTradePolicy,30,8,1,3,3
learned_q,Learned Q policy,500002,hoarding,Hoarding,3,HoardingTradePolicy,9,4,1,0,9
learned_q,Learned Q policy,500002,hoarding,Hoarding,4,HoardingTradePolicy,19,7,0,2,5
learned_q,Learned Q policy,500002,mixed,Mixed,0,FairnessSensitiveTradePolicy,33,12,2,3,4
learned_q,Learned Q policy,500002,mixed,Mixed,1,HoardingTradePolicy,31,14,3,2,4
learned_q,Learned Q policy,500002,mixed,Mixed,2,SelfishTradePolicy,19,6,0,2,5
learned_q,Learned Q policy,500002,mixed,Mixed,3,CooperativeTradePolicy,14,4,1,1,4
learned_q,Learned Q policy,500002,mixed,Mixed,4,CompetitiveTradePolicy,17,4,1,1,7
learned_q,Learned Q policy,500002,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,22,9,1,2,4
learned_q,Learned Q policy,500002,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,36,10,2,3,5
learned_q,Learned Q policy,500002,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,17,6,2,1,4
