sweep,sweep_label,restrictive_label,restrictive_count,restrictive_share,condition,condition_label,final_total_score,final_min_score,final_score_gap,cumulative_trades_executed
need_based_to_competitive,Need-based → competitive,Competitive agents,1,0.2,bilateral_3pass,Bilateral 3-pass,130.37,13.26,26.61,36.78
need_based_to_competitive,Need-based → competitive,Competitive agents,1,0.2,central_cap2,Central capped (2),123.67,13.86,21.8,34.93
need_based_to_competitive,Need-based → competitive,Competitive agents,1,0.2,central_full,Central clearing,155.7,22.77,17.11,53.55
need_based_to_competitive,Need-based → competitive,Competitive agents,1,0.2,equity_central,Equity central,154.28,23.8,15.21,52.72
need_based_to_competitive,Need-based → competitive,Competitive agents,1,0.2,no_trade,No trade,29.91,1.8,11.31,0.0
need_based_to_competitive,Need-based → competitive,Competitive agents,1,0.2,public_pool,Public pool,133.53,18.07,22.33,46.01
need_based_to_competitive,Need-based → competitive,Competitive agents,2,0.4,bilateral_3pass,Bilateral 3-pass,125.46,11.73,28.63,33.91
need_based_to_competitive,Need-based → competitive,Competitive agents,2,0.4,central_cap2,Central capped (2),125.54,14.02,22.77,35.06
need_based_to_competitive,Need-based → competitive,Competitive agents,2,0.4,central_full,Central clearing,151.07,21.89,18.05,52.91
need_based_to_competitive,Need-based → competitive,Competitive agents,2,0.4,equity_central,Equity central,149.37,22.81,15.13,53.01
need_based_to_competitive,Need-based → competitive,Competitive agents,2,0.4,no_trade,No trade,29.91,1.8,11.31,0.0
need_based_to_competitive,Need-based → competitive,Competitive agents,2,0.4,public_pool,Public pool,115.71,11.81,28.5,40.71
need_based_to_competitive,Need-based → competitive,Competitive agents,3,0.6,bilateral_3pass,Bilateral 3-pass,117.27,10.18,29.26,30.12
need_based_to_competitive,Need-based → competitive,Competitive agents,3,0.6,central_cap2,Central capped (2),120.35,13.49,21.4,35.22
need_based_to_competitive,Need-based → competitive,Competitive agents,3,0.6,central_full,Central clearing,148.79,21.75,17.76,52.77
need_based_to_competitive,Need-based → competitive,Competitive agents,3,0.6,equity_central,Equity central,146.95,22.64,15.27,52.62
need_based_to_competitive,Need-based → competitive,Competitive agents,3,0.6,no_trade,No trade,29.91,1.8,11.31,0.0
need_based_to_competitive,Need-based → competitive,Competitive agents,3,0.6,public_pool,Public pool,87.43,4.92,30.23,31.04
need_based_to_competitive,Need-based → competitive,Competitive agents,4,0.8,bilateral_3pass,Bilateral 3-pass,103.01,8.08,29.07,25.7
need_based_to_competitive,Need-based → competitive,Competitive agents,4,0.8,central_cap2,Central capped (2),121.36,13.14,22.77,35.45
need_based_to_competitive,Need-based → competitive,Competitive agents,4,0.8,central_full,Central clearing,147.26,20.94,18.21,51.7
need_based_to_competitive,Need-based → competitive,Competitive agents,4,0.8,equity_central,Equity central,143.97,22.14,14.74,52.82
need_based_to_competitive,Need-based → competitive,Competitive agents,4,0.8,no_trade,No trade,29.91,1.8,11.31,0.0
need_based_to_competitive,Need-based → competitive,Competitive agents,4,0.8,public_pool,Public pool,59.46,2.37,23.3,19.5
need_based_to_competitive,Need-based → competitive,Competitive agents,5,1.0,bilateral_3pass,Bilateral 3-pass,98.3,8.0,27.53,21.18
need_based_to_competitive,Need-based → competitive,Competitive agents,5,1.0,central_cap2,Central capped (2),121.82,13.4,22.46,35.55
need_based_to_competitive,Need-based → competitive,Competitive agents,5,1.0,central_full,Central clearing,143.83,20.46,17.81,51.05
need_based_to_competitive,Need-based → competitive,Competitive agents,5,1.0,equity_central,Equity central,139.27,21.47,14.52,51.53
need_based_to_competitive,Need-based → competitive,Competitive agents,5,1.0,no_trade,No trade,29.92,1.8,11.32,0.0
need_based_to_competitive,Need-based → competitive,Competitive agents,5,1.0,public_pool,Public pool,29.92,1.8,11.32,0.0
