build_mode_development,build_mode_label_development,population,population_label,condition,condition_label,final_total_score_development,final_score_gap_development,cumulative_trades_executed_development,final_idle_infrastructure_development,final_total_infrastructure_development,final_total_production_sites_development,final_total_advanced_sites_development,final_total_innovation_development,build_mode_crown,build_mode_label_crown,final_total_score_crown,final_score_gap_crown,cumulative_trades_executed_crown,final_idle_infrastructure_crown,final_total_infrastructure_crown,final_total_production_sites_crown,final_total_advanced_sites_crown,final_total_innovation_crown,build_mode_comparison,build_mode_from,build_mode_to,delta_final_total_score,delta_final_score_gap,delta_cumulative_trades_executed,delta_final_idle_infrastructure,delta_final_total_infrastructure,delta_final_total_production_sites,delta_final_total_advanced_sites,delta_final_total_innovation,pct_change_final_total_score,pct_change_final_score_gap,pct_change_cumulative_trades_executed
development_oriented,Development-oriented,cooperative,Cooperative,bilateral_trade,Bilateral,115.58,28.545,42.43,12.58,43.92,5.975,9.695,23.455,crown_aware,Crown-aware,114.52,28.49,42.3,12.38,43.59,6.105,9.5,23.905,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.0600000000000023,-0.05500000000000327,-0.13000000000000256,-0.1999999999999993,-0.3299999999999983,0.13000000000000078,-0.19500000000000028,0.45000000000000284,-0.917113687489187,-0.19267822736031973,-0.3063869903370317
development_oriented,Development-oriented,cooperative,Cooperative,bilateral_trade_3pass,Bilateral 3-pass,125.835,29.64,69.205,10.845,45.115,6.26,10.875,22.4,crown_aware,Crown-aware,124.535,30.0,69.685,11.165,45.145,6.255,10.735,22.425,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.2999999999999972,0.35999999999999943,0.480000000000004,0.3199999999999985,0.030000000000001137,-0.004999999999999893,-0.14000000000000057,0.02500000000000213,-1.0330988993523242,1.2145748987854232,0.6935915035040878
development_oriented,Development-oriented,cooperative,Cooperative,bottleneck_priority_bilateral_trade,Bottleneck,117.59,29.705,42.05,12.04,44.06,6.145,9.865,23.715,crown_aware,Crown-aware,115.57,29.5,41.975,12.25,43.77,6.155,9.605,24.085,crown_aware_minus_development_oriented,development_oriented,crown_aware,-2.0200000000000102,-0.2049999999999983,-0.07499999999999574,0.21000000000000085,-0.28999999999999915,0.010000000000000675,-0.2599999999999998,0.370000000000001,-1.717833149077311,-0.6901195085002468,-0.17835909631390187
development_oriented,Development-oriented,cooperative,Cooperative,catch_up_bilateral_trade,Catch-up,114.045,30.33,42.24,12.455,43.405,5.945,9.53,23.48,crown_aware,Crown-aware,113.395,30.25,41.915,12.705,43.425,5.895,9.465,23.49,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.6500000000000057,-0.0799999999999983,-0.32500000000000284,0.25,0.01999999999999602,-0.05000000000000071,-0.0649999999999995,0.00999999999999801,-0.5699504581524887,-0.26376524892844805,-0.7694128787878854
development_oriented,Development-oriented,cooperative,Cooperative,central_clearing,Central clearing,145.06,17.24,51.99,8.59,47.18,5.845,13.45,20.245,crown_aware,Crown-aware,144.53,17.45,51.865,8.82,47.1,5.7,13.44,20.465,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.5300000000000011,0.21000000000000085,-0.125,0.23000000000000043,-0.0799999999999983,-0.14499999999999957,-0.009999999999999787,0.21999999999999886,-0.365366055425342,1.2180974477958286,-0.2404308520869398
development_oriented,Development-oriented,cooperative,Cooperative,central_clearing_capped,Central capped (2),117.91,21.92,35.385,9.81,42.47,6.58,9.75,24.015,crown_aware,Crown-aware,117.95,22.02,35.295,9.61,42.43,6.695,9.715,23.965,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.04000000000000625,0.09999999999999787,-0.0899999999999963,-0.20000000000000107,-0.03999999999999915,0.11500000000000021,-0.03500000000000014,-0.05000000000000071,0.03392417945891464,0.456204379562034,-0.25434506146671276
development_oriented,Development-oriented,cooperative,Cooperative,clearinghouse_bargaining,Clearinghouse,116.115,27.605,42.41,11.715,43.265,6.035,9.74,23.13,crown_aware,Crown-aware,113.655,27.625,42.18,12.31,43.06,5.885,9.49,23.235,crown_aware_minus_development_oriented,development_oriented,crown_aware,-2.4599999999999937,0.019999999999999574,-0.22999999999999687,0.5950000000000006,-0.2049999999999983,-0.15000000000000036,-0.25,0.10500000000000043,-2.1185893295439815,0.07245064299945507,-0.542324923367123
development_oriented,Development-oriented,cooperative,Cooperative,equity_weighted_central,Equity central,140.4,14.72,52.505,9.015,46.995,6.325,12.665,21.66,crown_aware,Crown-aware,139.035,14.865,51.955,9.26,46.84,6.265,12.525,21.79,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.365000000000009,0.14499999999999957,-0.5500000000000043,0.24499999999999922,-0.15499999999999403,-0.0600000000000005,-0.1399999999999988,0.129999999999999,-0.9722222222222286,0.985054347826084,-1.047519283877734
development_oriented,Development-oriented,cooperative,Cooperative,no_trade,No trade,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595,crown_aware,Crown-aware,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
development_oriented,Development-oriented,cooperative,Cooperative,public_pool,Public pool,140.595,14.065,50.295,6.14,40.16,3.025,13.985,18.215,crown_aware,Crown-aware,139.575,14.4,50.03,6.2,39.97,3.025,13.86,18.435,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.0200000000000102,0.33500000000000085,-0.26500000000000057,0.0600000000000005,-0.18999999999999773,0.0,-0.125,0.21999999999999886,-0.7254881041288881,2.3817987913259926,-0.5268913410875844
development_oriented,Development-oriented,cooperative,Cooperative,subsidized_catch_up,Subsidized,73.285,15.405,18.23,12.195,34.495,6.975,4.175,18.855,crown_aware,Crown-aware,72.905,15.35,17.995,12.18,34.37,6.96,4.135,18.925,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.37999999999999545,-0.054999999999999716,-0.23499999999999943,-0.015000000000000568,-0.125,-0.01499999999999968,-0.040000000000000036,0.07000000000000028,-0.5185235723545002,-0.3570269393054185,-1.2890839275918784
