build_mode,build_mode_label,population,population_label,condition,condition_label,final_total_score,final_score_gap,cumulative_trades_executed,final_idle_infrastructure,final_total_infrastructure,final_total_production_sites,final_total_advanced_sites,final_total_innovation
crown_aware,Crown-aware,hoarding,Hoarding,public_pool,Public pool,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565
crown_aware,Crown-aware,hoarding,Hoarding,subsidized_catch_up,Subsidized,80.715,16.185,16.495,11.445,36.525,7.56,4.98,17.05
crown_aware,Crown-aware,mixed,Mixed,bilateral_trade,Bilateral,102.71,26.96,27.595,12.945,41.875,6.62,7.845,25.245
crown_aware,Crown-aware,mixed,Mixed,bilateral_trade_3pass,Bilateral 3-pass,110.615,26.95,34.59,11.415,42.425,6.695,8.81,24.2
crown_aware,Crown-aware,mixed,Mixed,bottleneck_priority_bilateral_trade,Bottleneck,102.18,27.44,27.43,12.43,41.16,6.54,7.825,25.235
crown_aware,Crown-aware,mixed,Mixed,catch_up_bilateral_trade,Catch-up,100.26,29.075,26.995,12.95,41.16,6.53,7.575,25.215
crown_aware,Crown-aware,mixed,Mixed,central_clearing,Central clearing,145.565,17.27,51.72,8.525,47.295,5.77,13.615,20.07
crown_aware,Crown-aware,mixed,Mixed,central_clearing_capped,Central capped (2),119.31,22.105,35.47,9.35,42.36,6.54,9.965,23.815
crown_aware,Crown-aware,mixed,Mixed,clearinghouse_bargaining,Clearinghouse,101.87,26.145,28.085,12.965,41.355,6.35,7.845,24.94
crown_aware,Crown-aware,mixed,Mixed,equity_weighted_central,Equity central,142.3,14.97,51.78,8.575,47.215,6.385,12.935,21.295
crown_aware,Crown-aware,mixed,Mixed,no_trade,No trade,29.43,10.84,0.0,15.625,21.905,2.705,0.435,15.565
crown_aware,Crown-aware,mixed,Mixed,public_pool,Public pool,107.955,29.385,39.45,7.925,35.705,4.35,9.54,18.195
crown_aware,Crown-aware,mixed,Mixed,subsidized_catch_up,Subsidized,74.99,15.635,17.82,12.065,35.105,7.195,4.325,18.61
crown_aware,Crown-aware,need_based,Need-based,bilateral_trade,Bilateral,126.555,26.965,34.31,10.78,45.6,6.5,10.91,22.615
crown_aware,Crown-aware,need_based,Need-based,bilateral_trade_3pass,Bilateral 3-pass,140.195,26.835,41.61,9.89,47.74,6.125,12.8,20.73
crown_aware,Crown-aware,need_based,Need-based,bottleneck_priority_bilateral_trade,Bottleneck,129.655,27.995,34.96,10.75,46.19,6.385,11.335,22.105
crown_aware,Crown-aware,need_based,Need-based,catch_up_bilateral_trade,Catch-up,126.685,28.62,34.88,10.94,45.53,6.28,11.015,22.305
crown_aware,Crown-aware,need_based,Need-based,central_clearing,Central clearing,159.32,18.215,52.925,7.83,49.75,5.44,15.52,18.135
crown_aware,Crown-aware,need_based,Need-based,central_clearing_capped,Central capped (2),125.955,22.42,34.465,8.98,43.88,6.7,10.75,23.005
crown_aware,Crown-aware,need_based,Need-based,clearinghouse_bargaining,Clearinghouse,128.2,27.105,35.725,10.52,45.41,6.195,11.25,21.935
