condition,condition_label,average_crown_aware_effect_final_total_score,min_crown_aware_effect_final_total_score,max_crown_aware_effect_final_total_score,average_crown_aware_effect_final_score_gap,min_crown_aware_effect_final_score_gap,max_crown_aware_effect_final_score_gap,range_crown_aware_effect_final_total_score,range_crown_aware_effect_final_score_gap
bilateral_trade,Bilateral,-0.6557142857142821,-1.3399999999999892,0.4100000000000108,0.06428571428571368,-0.2699999999999996,0.41499999999999915,1.75,0.6849999999999987
bilateral_trade_3pass,Bilateral 3-pass,-1.230714285714289,-4.150000000000006,0.5099999999999909,0.09857142857142824,-0.4450000000000003,0.5700000000000003,4.659999999999997,1.0150000000000006
bottleneck_priority_bilateral_trade,Bottleneck,-1.0785714285714303,-2.1899999999999977,0.10499999999998977,-0.12071428571428555,-0.34499999999999886,0.17999999999999972,2.2949999999999875,0.5249999999999986
catch_up_bilateral_trade,Catch-up,-1.2285714285714298,-1.9599999999999937,-0.35999999999999943,-0.03357142857142798,-0.33999999999999986,0.6149999999999984,1.5999999999999943,0.9549999999999983
central_clearing,Central clearing,-1.4085714285714306,-3.75,0.0,0.3714285714285716,0.0,1.115000000000002,3.75,1.115000000000002
central_clearing_capped,Central capped (2),-0.4264285714285713,-1.6200000000000045,0.1599999999999966,0.15142857142857075,-0.3100000000000023,0.40500000000000114,1.7800000000000011,0.7150000000000034
clearinghouse_bargaining,Clearinghouse,-1.1999999999999946,-2.4599999999999937,-0.22499999999999432,-0.20857142857142819,-1.0500000000000007,1.3950000000000031,2.2349999999999994,2.445000000000004
equity_weighted_central,Equity central,-1.704285714285707,-3.2299999999999898,0.0,0.27857142857142847,0.0,0.5449999999999999,3.2299999999999898,0.5449999999999999
no_trade,No trade,0.01500000000000006,0.0,0.07000000000000028,0.012857142857142836,0.0,0.054999999999999716,0.07000000000000028,0.054999999999999716
public_pool,Public pool,-0.18000000000000074,-1.0200000000000102,0.7350000000000136,0.12928571428571445,-0.34999999999999787,0.7749999999999986,1.7550000000000239,1.1249999999999964
subsidized_catch_up,Subsidized,-0.2749999999999996,-0.48499999999999943,0.0,-0.020714285714285654,-0.08000000000000007,0.0600000000000005,0.48499999999999943,0.14000000000000057
