scenario,mean_difference,ci95_low,ci95_high
need_based,0.5969999999999996,-0.3425875000000003,1.515849999999997
cooperative,-0.1650000000000002,-1.1505500000000004,0.7991874999999992
hoarding,0.1134999999999997,-0.9257625000000002,1.0965125000000002
mixed,0.2180000000000002,-0.5900999999999997,0.9765
need_based_to_competitive,0.3829999999999998,-0.4405250000000001,1.2315999999999994
cooperative_to_hoarding,-0.3284999999999998,-1.21855,0.601
