metric,metric_definition,comparison,mean_difference,seed_clustered_ci95_low,seed_clustered_ci95_high,seed_clusters,observations
final_total_score,final total score,central_clearing_minus_equity_central,3.2864285714285715,1.8606607142857143,4.703589285714285,200,1400
final_score_gap,final max-min score range,central_clearing_minus_equity_central,2.355714285714286,1.8678214285714285,2.8435892857142853,200,1400
