policy_name,n,mean_final_welfare,sd_final_welfare,p25_final_welfare,median_final_welfare,p75_final_welfare
frequency_informed_random,600,20.314500000000002,4.932036231177012,16.799999999999997,20.05,23.225
learned_q,600,20.181749999999997,4.831554543105667,16.65,20.0,23.299999999999997
permanent_bilateral_3pass,600,19.41716666666667,5.071740453164245,15.6,18.950000000000003,22.799999999999997
random_feasible,600,20.045416666666668,4.708983333280204,16.625,19.925,23.450000000000003
shuffled_learned_sequence,600,20.043499999999998,4.76531791608937,16.65,20.1,23.15
