q_state_key,action,training_state_visits,training_action_updates
"1,1,1,2,0,1,2",central_cap2,23,0
"1,1,1,2,0,1,2",equity_cap2,23,0
"1,1,1,2,0,1,2",central_full,23,0
"2,1,1,1,1,0,0",bilateral_3pass,157,157
"2,1,1,1,1,0,0",clearinghouse,157,0
"2,1,1,1,1,0,0",public_pool,157,0
"2,1,1,1,1,0,0",subsidized_catch_up,157,0
"2,1,1,1,1,0,0",central_cap2,157,0
"2,1,1,1,1,0,0",equity_cap2,157,0
"2,1,1,1,1,0,0",central_full,157,0
"2,1,2,2,2,0,5",bilateral_3pass,4,4
"2,1,2,2,2,0,5",clearinghouse,4,0
"2,1,2,2,2,0,5",public_pool,4,0
"2,1,2,2,2,0,5",subsidized_catch_up,4,0
"2,1,2,2,2,0,5",central_cap2,4,0
"2,1,2,2,2,0,5",equity_cap2,4,0
"2,1,2,2,2,0,5",central_full,4,0
"2,1,2,1,2,2,0",bilateral_3pass,91,91
"2,1,2,1,2,2,0",clearinghouse,91,0
"2,1,2,1,2,2,0",public_pool,91,0
"2,1,2,1,2,2,0",subsidized_catch_up,91,0
"2,1,2,1,2,2,0",central_cap2,91,0
"2,1,2,1,2,2,0",equity_cap2,91,0
"2,1,2,1,2,2,0",central_full,91,0
"3,1,0,1,2,2,1",bilateral_3pass,138,126
"3,1,0,1,2,2,1",clearinghouse,138,12
"3,1,0,1,2,2,1",public_pool,138,0
"3,1,0,1,2,2,1",subsidized_catch_up,138,0
"3,1,0,1,2,2,1",central_cap2,138,0
"3,1,0,1,2,2,1",equity_cap2,138,0
"3,1,0,1,2,2,1",central_full,138,0
"3,1,2,3,2,1,0",bilateral_3pass,197,197
"3,1,2,3,2,1,0",clearinghouse,197,0
"3,1,2,3,2,1,0",public_pool,197,0
"3,1,2,3,2,1,0",subsidized_catch_up,197,0
"3,1,2,3,2,1,0",central_cap2,197,0
"3,1,2,3,2,1,0",equity_cap2,197,0
"3,1,2,3,2,1,0",central_full,197,0
"0,3,0,2,0,0,3",bilateral_3pass,13,1
"0,3,0,2,0,0,3",clearinghouse,13,3
"0,3,0,2,0,0,3",public_pool,13,5
"0,3,0,2,0,0,3",subsidized_catch_up,13,0
"0,3,0,2,0,0,3",central_cap2,13,1
"0,3,0,2,0,0,3",equity_cap2,13,2
"0,3,0,2,0,0,3",central_full,13,1
"0,2,2,1,0,0,5",bilateral_3pass,77,9
"0,2,2,1,0,0,5",clearinghouse,77,48
"0,2,2,1,0,0,5",public_pool,77,3
"0,2,2,1,0,0,5",subsidized_catch_up,77,6
"0,2,2,1,0,0,5",central_cap2,77,7
"0,2,2,1,0,0,5",equity_cap2,77,4
"0,2,2,1,0,0,5",central_full,77,0
"1,1,2,1,0,1,1",bilateral_3pass,245,219
"1,1,2,1,0,1,1",clearinghouse,245,26
"1,1,2,1,0,1,1",public_pool,245,0
"1,1,2,1,0,1,1",subsidized_catch_up,245,0
"1,1,2,1,0,1,1",central_cap2,245,0
"1,1,2,1,0,1,1",equity_cap2,245,0
"1,1,2,1,0,1,1",central_full,245,0
"1,1,2,3,0,2,0",bilateral_3pass,108,108
"1,1,2,3,0,2,0",clearinghouse,108,0
"1,1,2,3,0,2,0",public_pool,108,0
"1,1,2,3,0,2,0",subsidized_catch_up,108,0
"1,1,2,3,0,2,0",central_cap2,108,0
"1,1,2,3,0,2,0",equity_cap2,108,0
"1,1,2,3,0,2,0",central_full,108,0
"2,1,2,3,1,0,4",bilateral_3pass,13,13
"2,1,2,3,1,0,4",clearinghouse,13,0
"2,1,2,3,1,0,4",public_pool,13,0
"2,1,2,3,1,0,4",subsidized_catch_up,13,0
"2,1,2,3,1,0,4",central_cap2,13,0
"2,1,2,3,1,0,4",equity_cap2,13,0
"2,1,2,3,1,0,4",central_full,13,0
"3,2,1,3,1,1,0",bilateral_3pass,502,401
"3,2,1,3,1,1,0",clearinghouse,502,35
"3,2,1,3,1,1,0",public_pool,502,7
"3,2,1,3,1,1,0",subsidized_catch_up,502,43
"3,2,1,3,1,1,0",central_cap2,502,7
"3,2,1,3,1,1,0",equity_cap2,502,9
"3,2,1,3,1,1,0",central_full,502,0
"3,1,1,3,2,2,4",bilateral_3pass,46,46
"3,1,1,3,2,2,4",clearinghouse,46,0
"3,1,1,3,2,2,4",public_pool,46,0
"3,1,1,3,2,2,4",subsidized_catch_up,46,0
"3,1,1,3,2,2,4",central_cap2,46,0
"3,1,1,3,2,2,4",equity_cap2,46,0
"3,1,1,3,2,2,4",central_full,46,0
"0,2,1,2,0,1,4",bilateral_3pass,20,1
"0,2,1,2,0,1,4",clearinghouse,20,11
"0,2,1,2,0,1,4",public_pool,20,0
"0,2,1,2,0,1,4",subsidized_catch_up,20,4
"0,2,1,2,0,1,4",central_cap2,20,4
"0,2,1,2,0,1,4",equity_cap2,20,0
"0,2,1,2,0,1,4",central_full,20,0
"0,1,2,3,0,1,0",bilateral_3pass,248,248
"0,1,2,3,0,1,0",clearinghouse,248,0
"0,1,2,3,0,1,0",public_pool,248,0
"0,1,2,3,0,1,0",subsidized_catch_up,248,0
"0,1,2,3,0,1,0",central_cap2,248,0
"0,1,2,3,0,1,0",equity_cap2,248,0
"0,1,2,3,0,1,0",central_full,248,0
"1,1,1,1,1,1,1",bilateral_3pass,155,147
"1,1,1,1,1,1,1",clearinghouse,155,8
"1,1,1,1,1,1,1",public_pool,155,0
"1,1,1,1,1,1,1",subsidized_catch_up,155,0
"1,1,1,1,1,1,1",central_cap2,155,0
"1,1,1,1,1,1,1",equity_cap2,155,0
"1,1,1,1,1,1,1",central_full,155,0
"1,1,1,3,1,2,3",bilateral_3pass,52,43
"1,1,1,3,1,2,3",clearinghouse,52,0
"1,1,1,3,1,2,3",public_pool,52,0
"1,1,1,3,1,2,3",subsidized_catch_up,52,9
"1,1,1,3,1,2,3",central_cap2,52,0
"1,1,1,3,1,2,3",equity_cap2,52,0
"1,1,1,3,1,2,3",central_full,52,0
"2,1,1,1,1,1,1",bilateral_3pass,345,321
"2,1,1,1,1,1,1",clearinghouse,345,24
"2,1,1,1,1,1,1",public_pool,345,0
"2,1,1,1,1,1,1",subsidized_catch_up,345,0
"2,1,1,1,1,1,1",central_cap2,345,0
"2,1,1,1,1,1,1",equity_cap2,345,0
"2,1,1,1,1,1,1",central_full,345,0
"2,1,2,2,2,2,3",bilateral_3pass,103,99
"2,1,2,2,2,2,3",clearinghouse,103,0
"2,1,2,2,2,2,3",public_pool,103,0
"2,1,2,2,2,2,3",subsidized_catch_up,103,4
"2,1,2,2,2,2,3",central_cap2,103,0
"2,1,2,2,2,2,3",equity_cap2,103,0
"2,1,2,2,2,2,3",central_full,103,0
"0,3,0,1,0,0,3",bilateral_3pass,43,1
"0,3,0,1,0,0,3",clearinghouse,43,6
"0,3,0,1,0,0,3",public_pool,43,21
"0,3,0,1,0,0,3",subsidized_catch_up,43,3
"0,3,0,1,0,0,3",central_cap2,43,3
"0,3,0,1,0,0,3",equity_cap2,43,4
"0,3,0,1,0,0,3",central_full,43,5
"0,2,2,1,0,0,4",bilateral_3pass,236,16
"0,2,2,1,0,0,4",clearinghouse,236,9
"0,2,2,1,0,0,4",public_pool,236,7
"0,2,2,1,0,0,4",subsidized_catch_up,236,178
"0,2,2,1,0,0,4",central_cap2,236,12
"0,2,2,1,0,0,4",equity_cap2,236,14
"0,2,2,1,0,0,4",central_full,236,0
"0,2,0,3,0,0,3",bilateral_3pass,166,14
"0,2,0,3,0,0,3",clearinghouse,166,13
"0,2,0,3,0,0,3",public_pool,166,4
"0,2,0,3,0,0,3",subsidized_catch_up,166,132
"0,2,0,3,0,0,3",central_cap2,166,2
"0,2,0,3,0,0,3",equity_cap2,166,1
"0,2,0,3,0,0,3",central_full,166,0
"1,1,2,3,0,0,3",bilateral_3pass,359,338
"1,1,2,3,0,0,3",clearinghouse,359,0
"1,1,2,3,0,0,3",public_pool,359,0
"1,1,2,3,0,0,3",subsidized_catch_up,359,21
"1,1,2,3,0,0,3",central_cap2,359,0
"1,1,2,3,0,0,3",equity_cap2,359,0
"1,1,2,3,0,0,3",central_full,359,0
"2,1,1,1,1,2,3",bilateral_3pass,518,467
"2,1,1,1,1,2,3",clearinghouse,518,0
"2,1,1,1,1,2,3",public_pool,518,0
"2,1,1,1,1,2,3",subsidized_catch_up,518,51
"2,1,1,1,1,2,3",central_cap2,518,0
"2,1,1,1,1,2,3",equity_cap2,518,0
"2,1,1,1,1,2,3",central_full,518,0
"0,2,0,0,0,0,1",bilateral_3pass,13,0
"0,2,0,0,0,0,1",clearinghouse,13,2
"0,2,0,0,0,0,1",public_pool,13,1
"0,2,0,0,0,0,1",subsidized_catch_up,13,10
"0,2,0,0,0,0,1",central_cap2,13,0
"0,2,0,0,0,0,1",equity_cap2,13,0
"0,2,0,0,0,0,1",central_full,13,0
"0,1,1,2,0,1,2",bilateral_3pass,20,20
"0,1,1,2,0,1,2",clearinghouse,20,0
"0,1,1,2,0,1,2",public_pool,20,0
"0,1,1,2,0,1,2",subsidized_catch_up,20,0
"0,1,1,2,0,1,2",central_cap2,20,0
"0,1,1,2,0,1,2",equity_cap2,20,0
"0,1,1,2,0,1,2",central_full,20,0
"1,2,0,3,1,1,0",bilateral_3pass,128,100
"1,2,0,3,1,1,0",clearinghouse,128,9
"1,2,0,3,1,1,0",public_pool,128,7
"1,2,0,3,1,1,0",subsidized_catch_up,128,6
"1,2,0,3,1,1,0",central_cap2,128,3
"1,2,0,3,1,1,0",equity_cap2,128,3
"1,2,0,3,1,1,0",central_full,128,0
"2,1,1,2,0,0,4",bilateral_3pass,2,2
"2,1,1,2,0,0,4",clearinghouse,2,0
"2,1,1,2,0,0,4",public_pool,2,0
"2,1,1,2,0,0,4",subsidized_catch_up,2,0
"2,1,1,2,0,0,4",central_cap2,2,0
"2,1,1,2,0,0,4",equity_cap2,2,0
"2,1,1,2,0,0,4",central_full,2,0
"3,1,0,2,1,1,3",bilateral_3pass,20,18
"3,1,0,2,1,1,3",clearinghouse,20,0
"3,1,0,2,1,1,3",public_pool,20,0
"3,1,0,2,1,1,3",subsidized_catch_up,20,2
"3,1,0,2,1,1,3",central_cap2,20,0
"3,1,0,2,1,1,3",equity_cap2,20,0
"3,1,0,2,1,1,3",central_full,20,0
"3,1,0,3,1,2,0",bilateral_3pass,64,64
"3,1,0,3,1,2,0",clearinghouse,64,0
"3,1,0,3,1,2,0",public_pool,64,0
"3,1,0,3,1,2,0",subsidized_catch_up,64,0
"3,1,0,3,1,2,0",central_cap2,64,0
"3,1,0,3,1,2,0",equity_cap2,64,0
"3,1,0,3,1,2,0",central_full,64,0
"3,2,0,0,1,1,0",bilateral_3pass,8,6
"3,2,0,0,1,1,0",clearinghouse,8,2
"3,2,0,0,1,1,0",public_pool,8,0
"3,2,0,0,1,1,0",subsidized_catch_up,8,0
"3,2,0,0,1,1,0",central_cap2,8,0
"3,2,0,0,1,1,0",equity_cap2,8,0
"3,2,0,0,1,1,0",central_full,8,0
"3,1,0,3,2,1,1",bilateral_3pass,198,190
"3,1,0,3,2,1,1",clearinghouse,198,8
"3,1,0,3,2,1,1",public_pool,198,0
"3,1,0,3,2,1,1",subsidized_catch_up,198,0
"3,1,0,3,2,1,1",central_cap2,198,0
"3,1,0,3,2,1,1",equity_cap2,198,0
"3,1,0,3,2,1,1",central_full,198,0
"0,3,2,2,0,0,3",bilateral_3pass,55,7
"0,3,2,2,0,0,3",clearinghouse,55,3
"0,3,2,2,0,0,3",public_pool,55,6
"0,3,2,2,0,0,3",subsidized_catch_up,55,27
"0,3,2,2,0,0,3",central_cap2,55,3
"0,3,2,2,0,0,3",equity_cap2,55,3
"0,3,2,2,0,0,3",central_full,55,6
"0,1,1,3,0,0,2",bilateral_3pass,95,95
"0,1,1,3,0,0,2",clearinghouse,95,0
"0,1,1,3,0,0,2",public_pool,95,0
"0,1,1,3,0,0,2",subsidized_catch_up,95,0
"0,1,1,3,0,0,2",central_cap2,95,0
"0,1,1,3,0,0,2",equity_cap2,95,0
"0,1,1,3,0,0,2",central_full,95,0
"1,1,2,1,1,1,3",bilateral_3pass,34,32
"1,1,2,1,1,1,3",clearinghouse,34,0
"1,1,2,1,1,1,3",public_pool,34,0
"1,1,2,1,1,1,3",subsidized_catch_up,34,2
"1,1,2,1,1,1,3",central_cap2,34,0
"1,1,2,1,1,1,3",equity_cap2,34,0
"1,1,2,1,1,1,3",central_full,34,0
"1,1,2,3,2,1,0",bilateral_3pass,7,7
"1,1,2,3,2,1,0",clearinghouse,7,0
"1,1,2,3,2,1,0",public_pool,7,0
"1,1,2,3,2,1,0",subsidized_catch_up,7,0
"1,1,2,3,2,1,0",central_cap2,7,0
"1,1,2,3,2,1,0",equity_cap2,7,0
"1,1,2,3,2,1,0",central_full,7,0
"1,2,1,2,2,2,0",bilateral_3pass,9,1
"1,2,1,2,2,2,0",clearinghouse,9,6
"1,2,1,2,2,2,0",public_pool,9,1
"1,2,1,2,2,2,0",subsidized_catch_up,9,0
"1,2,1,2,2,2,0",central_cap2,9,1
"1,2,1,2,2,2,0",equity_cap2,9,0
"1,2,1,2,2,2,0",central_full,9,0
"1,2,1,1,2,2,0",bilateral_3pass,8,0
"1,2,1,1,2,2,0",clearinghouse,8,6
"1,2,1,1,2,2,0",public_pool,8,0
"1,2,1,1,2,2,0",subsidized_catch_up,8,1
"1,2,1,1,2,2,0",central_cap2,8,1
"1,2,1,1,2,2,0",equity_cap2,8,0
"1,2,1,1,2,2,0",central_full,8,0
"2,2,1,3,2,2,0",bilateral_3pass,578,440
"2,2,1,3,2,2,0",clearinghouse,578,54
"2,2,1,3,2,2,0",public_pool,578,8
"2,2,1,3,2,2,0",subsidized_catch_up,578,49
"2,2,1,3,2,2,0",central_cap2,578,12
"2,2,1,3,2,2,0",equity_cap2,578,15
"2,2,1,3,2,2,0",central_full,578,0
"3,1,1,1,2,2,2",bilateral_3pass,15,15
"3,1,1,1,2,2,2",clearinghouse,15,0
"3,1,1,1,2,2,2",public_pool,15,0
"3,1,1,1,2,2,2",subsidized_catch_up,15,0
"3,1,1,1,2,2,2",central_cap2,15,0
"3,1,1,1,2,2,2",equity_cap2,15,0
"3,1,1,1,2,2,2",central_full,15,0
"0,1,1,1,0,1,6",bilateral_3pass,50,50
"0,1,1,1,0,1,6",clearinghouse,50,0
"0,1,1,1,0,1,6",public_pool,50,0
"0,1,1,1,0,1,6",subsidized_catch_up,50,0
"0,1,1,1,0,1,6",central_cap2,50,0
"0,1,1,1,0,1,6",equity_cap2,50,0
"0,1,1,1,0,1,6",central_full,50,0
"2,1,1,1,2,0,1",bilateral_3pass,42,39
"2,1,1,1,2,0,1",clearinghouse,42,3
"2,1,1,1,2,0,1",public_pool,42,0
"2,1,1,1,2,0,1",subsidized_catch_up,42,0
"2,1,1,1,2,0,1",central_cap2,42,0
"2,1,1,1,2,0,1",equity_cap2,42,0
"2,1,1,1,2,0,1",central_full,42,0
"2,1,1,3,2,0,0",bilateral_3pass,64,64
"2,1,1,3,2,0,0",clearinghouse,64,0
"2,1,1,3,2,0,0",public_pool,64,0
"2,1,1,3,2,0,0",subsidized_catch_up,64,0
"2,1,1,3,2,0,0",central_cap2,64,0
"2,1,1,3,2,0,0",equity_cap2,64,0
"2,1,1,3,2,0,0",central_full,64,0
"2,2,0,2,2,1,0",bilateral_3pass,142,14
"2,2,0,2,2,1,0",clearinghouse,142,14
"2,2,0,2,2,1,0",public_pool,142,2
"2,2,0,2,2,1,0",subsidized_catch_up,142,107
"2,2,0,2,2,1,0",central_cap2,142,0
"2,2,0,2,2,1,0",equity_cap2,142,5
"2,2,0,2,2,1,0",central_full,142,0
"2,2,0,3,2,1,0",bilateral_3pass,143,20
"2,2,0,3,2,1,0",clearinghouse,143,10
"2,2,0,3,2,1,0",public_pool,143,2
"2,2,0,3,2,1,0",subsidized_catch_up,143,104
"2,2,0,3,2,1,0",central_cap2,143,5
"2,2,0,3,2,1,0",equity_cap2,143,2
"2,2,0,3,2,1,0",central_full,143,0
"0,1,2,2,0,1,1",bilateral_3pass,180,177
"0,1,2,2,0,1,1",clearinghouse,180,3
"0,1,2,2,0,1,1",public_pool,180,0
"0,1,2,2,0,1,1",subsidized_catch_up,180,0
"0,1,2,2,0,1,1",central_cap2,180,0
"0,1,2,2,0,1,1",equity_cap2,180,0
"0,1,2,2,0,1,1",central_full,180,0
"1,2,2,1,0,2,0",bilateral_3pass,554,36
"1,2,2,1,0,2,0",clearinghouse,554,39
"1,2,2,1,0,2,0",public_pool,554,11
"1,2,2,1,0,2,0",subsidized_catch_up,554,448
"1,2,2,1,0,2,0",central_cap2,554,13
"1,2,2,1,0,2,0",equity_cap2,554,7
"1,2,2,1,0,2,0",central_full,554,0
"2,1,1,3,0,1,0",bilateral_3pass,87,87
"2,1,1,3,0,1,0",clearinghouse,87,0
"2,1,1,3,0,1,0",public_pool,87,0
"2,1,1,3,0,1,0",subsidized_catch_up,87,0
"2,1,1,3,0,1,0",central_cap2,87,0
"2,1,1,3,0,1,0",equity_cap2,87,0
"2,1,1,3,0,1,0",central_full,87,0
"2,1,2,3,1,2,3",bilateral_3pass,167,152
"2,1,2,3,1,2,3",clearinghouse,167,0
"2,1,2,3,1,2,3",public_pool,167,0
"2,1,2,3,1,2,3",subsidized_catch_up,167,15
"2,1,2,3,1,2,3",central_cap2,167,0
"2,1,2,3,1,2,3",equity_cap2,167,0
"2,1,2,3,1,2,3",central_full,167,0
"2,1,1,3,1,2,3",bilateral_3pass,258,230
"2,1,1,3,1,2,3",clearinghouse,258,0
"2,1,1,3,1,2,3",public_pool,258,0
"2,1,1,3,1,2,3",subsidized_catch_up,258,28
"2,1,1,3,1,2,3",central_cap2,258,0
"2,1,1,3,1,2,3",equity_cap2,258,0
"2,1,1,3,1,2,3",central_full,258,0
"3,1,1,2,0,2,0",bilateral_3pass,8,8
"3,1,1,2,0,2,0",clearinghouse,8,0
"3,1,1,2,0,2,0",public_pool,8,0
"3,1,1,2,0,2,0",subsidized_catch_up,8,0
"3,1,1,2,0,2,0",central_cap2,8,0
"3,1,1,2,0,2,0",equity_cap2,8,0
"3,1,1,2,0,2,0",central_full,8,0
"3,2,0,1,1,2,0",bilateral_3pass,147,120
"3,2,0,1,1,2,0",clearinghouse,147,10
"3,2,0,1,1,2,0",public_pool,147,4
"3,2,0,1,1,2,0",subsidized_catch_up,147,9
"3,2,0,1,1,2,0",central_cap2,147,3
"3,2,0,1,1,2,0",equity_cap2,147,1
"3,2,0,1,1,2,0",central_full,147,0
"3,1,0,3,1,2,3",bilateral_3pass,51,47
"3,1,0,3,1,2,3",clearinghouse,51,0
"3,1,0,3,1,2,3",public_pool,51,0
"3,1,0,3,1,2,3",subsidized_catch_up,51,4
"3,1,0,3,1,2,3",central_cap2,51,0
"3,1,0,3,1,2,3",equity_cap2,51,0
"3,1,0,3,1,2,3",central_full,51,0
"3,2,0,3,1,1,0",bilateral_3pass,182,150
"3,2,0,3,1,1,0",clearinghouse,182,8
"3,2,0,3,1,1,0",public_pool,182,0
"3,2,0,3,1,1,0",subsidized_catch_up,182,13
"3,2,0,3,1,1,0",central_cap2,182,7
"3,2,0,3,1,1,0",equity_cap2,182,4
"3,2,0,3,1,1,0",central_full,182,0
"0,1,1,3,0,0,3",bilateral_3pass,510,467
"0,1,1,3,0,0,3",clearinghouse,510,0
"0,1,1,3,0,0,3",public_pool,510,0
"0,1,1,3,0,0,3",subsidized_catch_up,510,43
"0,1,1,3,0,0,3",central_cap2,510,0
"0,1,1,3,0,0,3",equity_cap2,510,0
"0,1,1,3,0,0,3",central_full,510,0
"1,1,2,3,1,2,2",bilateral_3pass,5,5
"1,1,2,3,1,2,2",clearinghouse,5,0
"1,1,2,3,1,2,2",public_pool,5,0
"1,1,2,3,1,2,2",subsidized_catch_up,5,0
"1,1,2,3,1,2,2",central_cap2,5,0
"1,1,2,3,1,2,2",equity_cap2,5,0
"1,1,2,3,1,2,2",central_full,5,0
"2,1,2,1,1,1,0",bilateral_3pass,379,379
"2,1,2,1,1,1,0",clearinghouse,379,0
"2,1,2,1,1,1,0",public_pool,379,0
"2,1,2,1,1,1,0",subsidized_catch_up,379,0
"2,1,2,1,1,1,0",central_cap2,379,0
"2,1,2,1,1,1,0",equity_cap2,379,0
"2,1,2,1,1,1,0",central_full,379,0
"2,1,1,3,2,1,3",bilateral_3pass,341,315
"2,1,1,3,2,1,3",clearinghouse,341,0
"2,1,1,3,2,1,3",public_pool,341,0
"2,1,1,3,2,1,3",subsidized_catch_up,341,26
"2,1,1,3,2,1,3",central_cap2,341,0
"2,1,1,3,2,1,3",equity_cap2,341,0
"2,1,1,3,2,1,3",central_full,341,0
"3,1,2,3,2,1,3",bilateral_3pass,189,169
"3,1,2,3,2,1,3",clearinghouse,189,0
"3,1,2,3,2,1,3",public_pool,189,0
"3,1,2,3,2,1,3",subsidized_catch_up,189,20
"3,1,2,3,2,1,3",central_cap2,189,0
"3,1,2,3,2,1,3",equity_cap2,189,0
"3,1,2,3,2,1,3",central_full,189,0
"0,1,2,3,0,0,3",bilateral_3pass,182,171
"0,1,2,3,0,0,3",clearinghouse,182,0
"0,1,2,3,0,0,3",public_pool,182,0
"0,1,2,3,0,0,3",subsidized_catch_up,182,11
"0,1,2,3,0,0,3",central_cap2,182,0
"0,1,2,3,0,0,3",equity_cap2,182,0
"0,1,2,3,0,0,3",central_full,182,0
"1,1,1,1,1,2,1",bilateral_3pass,62,60
"1,1,1,1,1,2,1",clearinghouse,62,2
"1,1,1,1,1,2,1",public_pool,62,0
"1,1,1,1,1,2,1",subsidized_catch_up,62,0
"1,1,1,1,1,2,1",central_cap2,62,0
"1,1,1,1,1,2,1",equity_cap2,62,0
"1,1,1,1,1,2,1",central_full,62,0
"2,1,0,3,2,2,1",bilateral_3pass,17,14
"2,1,0,3,2,2,1",clearinghouse,17,3
"2,1,0,3,2,2,1",public_pool,17,0
"2,1,0,3,2,2,1",subsidized_catch_up,17,0
"2,1,0,3,2,2,1",central_cap2,17,0
"2,1,0,3,2,2,1",equity_cap2,17,0
"2,1,0,3,2,2,1",central_full,17,0
"0,3,0,1,0,0,0",bilateral_3pass,126,16
"0,3,0,1,0,0,0",clearinghouse,126,6
"0,3,0,1,0,0,0",public_pool,126,68
"0,3,0,1,0,0,0",subsidized_catch_up,126,12
"0,3,0,1,0,0,0",central_cap2,126,5
"0,3,0,1,0,0,0",equity_cap2,126,8
"0,3,0,1,0,0,0",central_full,126,11
"0,3,2,2,0,1,0",bilateral_3pass,27,2
"0,3,2,2,0,1,0",clearinghouse,27,1
"0,3,2,2,0,1,0",public_pool,27,1
"0,3,2,2,0,1,0",subsidized_catch_up,27,3
"0,3,2,2,0,1,0",central_cap2,27,2
"0,3,2,2,0,1,0",equity_cap2,27,1
"0,3,2,2,0,1,0",central_full,27,17
"0,1,1,2,0,0,6",bilateral_3pass,97,97
"0,1,1,2,0,0,6",clearinghouse,97,0
"0,1,1,2,0,0,6",public_pool,97,0
"0,1,1,2,0,0,6",subsidized_catch_up,97,0
"0,1,1,2,0,0,6",central_cap2,97,0
"0,1,1,2,0,0,6",equity_cap2,97,0
"0,1,1,2,0,0,6",central_full,97,0
"1,1,1,3,0,0,3",bilateral_3pass,373,350
"1,1,1,3,0,0,3",clearinghouse,373,0
"1,1,1,3,0,0,3",public_pool,373,0
"1,1,1,3,0,0,3",subsidized_catch_up,373,23
"1,1,1,3,0,0,3",central_cap2,373,0
"1,1,1,3,0,0,3",equity_cap2,373,0
"1,1,1,3,0,0,3",central_full,373,0
"2,2,2,2,0,2,0",bilateral_3pass,216,166
"2,2,2,2,0,2,0",clearinghouse,216,18
"2,2,2,2,0,2,0",public_pool,216,5
"2,2,2,2,0,2,0",subsidized_catch_up,216,21
"2,2,2,2,0,2,0",central_cap2,216,2
"2,2,2,2,0,2,0",equity_cap2,216,4
"2,2,2,2,0,2,0",central_full,216,0
"2,1,1,2,0,2,1",bilateral_3pass,36,32
"2,1,1,2,0,2,1",clearinghouse,36,4
"2,1,1,2,0,2,1",public_pool,36,0
"2,1,1,2,0,2,1",subsidized_catch_up,36,0
"2,1,1,2,0,2,1",central_cap2,36,0
"2,1,1,2,0,2,1",equity_cap2,36,0
"2,1,1,2,0,2,1",central_full,36,0
"3,2,1,3,1,2,0",bilateral_3pass,580,437
"3,2,1,3,1,2,0",clearinghouse,580,56
"3,2,1,3,1,2,0",public_pool,580,10
"3,2,1,3,1,2,0",subsidized_catch_up,580,56
"3,2,1,3,1,2,0",central_cap2,580,14
"3,2,1,3,1,2,0",equity_cap2,580,7
"3,2,1,3,1,2,0",central_full,580,0
"3,1,2,1,0,2,1",bilateral_3pass,17,14
"3,1,2,1,0,2,1",clearinghouse,17,3
"3,1,2,1,0,2,1",public_pool,17,0
"3,1,2,1,0,2,1",subsidized_catch_up,17,0
"3,1,2,1,0,2,1",central_cap2,17,0
"3,1,2,1,0,2,1",equity_cap2,17,0
"3,1,2,1,0,2,1",central_full,17,0
"3,1,2,1,1,2,1",bilateral_3pass,63,54
"3,1,2,1,1,2,1",clearinghouse,63,9
"3,1,2,1,1,2,1",public_pool,63,0
"3,1,2,1,1,2,1",subsidized_catch_up,63,0
"3,1,2,1,1,2,1",central_cap2,63,0
"3,1,2,1,1,2,1",equity_cap2,63,0
"3,1,2,1,1,2,1",central_full,63,0
"3,1,1,2,1,2,1",bilateral_3pass,99,97
"3,1,1,2,1,2,1",clearinghouse,99,2
"3,1,1,2,1,2,1",public_pool,99,0
"3,1,1,2,1,2,1",subsidized_catch_up,99,0
"3,1,1,2,1,2,1",central_cap2,99,0
"3,1,1,2,1,2,1",equity_cap2,99,0
"3,1,1,2,1,2,1",central_full,99,0
"0,2,0,1,0,0,0",bilateral_3pass,291,18
"0,2,0,1,0,0,0",clearinghouse,291,21
"0,2,0,1,0,0,0",public_pool,291,4
"0,2,0,1,0,0,0",subsidized_catch_up,291,234
"0,2,0,1,0,0,0",central_cap2,291,8
"0,2,0,1,0,0,0",equity_cap2,291,6
"0,2,0,1,0,0,0",central_full,291,0
"0,1,1,3,0,1,2",bilateral_3pass,26,26
"0,1,1,3,0,1,2",clearinghouse,26,0
"0,1,1,3,0,1,2",public_pool,26,0
"0,1,1,3,0,1,2",subsidized_catch_up,26,0
"0,1,1,3,0,1,2",central_cap2,26,0
"0,1,1,3,0,1,2",equity_cap2,26,0
"0,1,1,3,0,1,2",central_full,26,0
"1,1,1,1,1,0,5",bilateral_3pass,5,5
"1,1,1,1,1,0,5",clearinghouse,5,0
"1,1,1,1,1,0,5",public_pool,5,0
"1,1,1,1,1,0,5",subsidized_catch_up,5,0
"1,1,1,1,1,0,5",central_cap2,5,0
"1,1,1,1,1,0,5",equity_cap2,5,0
"1,1,1,1,1,0,5",central_full,5,0
"3,2,0,0,2,2,0",bilateral_3pass,38,29
"3,2,0,0,2,2,0",clearinghouse,38,2
"3,2,0,0,2,2,0",public_pool,38,2
"3,2,0,0,2,2,0",subsidized_catch_up,38,5
"3,2,0,0,2,2,0",central_cap2,38,0
"3,2,0,0,2,2,0",equity_cap2,38,0
"3,2,0,0,2,2,0",central_full,38,0
"3,3,0,3,2,1,0",bilateral_3pass,97,0
"3,3,0,3,2,1,0",clearinghouse,97,1
"3,3,0,3,2,1,0",public_pool,97,1
"3,3,0,3,2,1,0",subsidized_catch_up,97,1
"3,3,0,3,2,1,0",central_cap2,97,92
"3,3,0,3,2,1,0",equity_cap2,97,1
"3,3,0,3,2,1,0",central_full,97,1
"0,2,1,1,0,1,5",bilateral_3pass,37,2
"0,2,1,1,0,1,5",clearinghouse,37,1
"0,2,1,1,0,1,5",public_pool,37,1
"0,2,1,1,0,1,5",subsidized_catch_up,37,28
"0,2,1,1,0,1,5",central_cap2,37,1
