q_state_key,action,training_state_visits,training_action_updates
"3,2,1,3,2,1,1",clearinghouse,145,129
"3,2,1,3,2,1,1",public_pool,145,0
"3,2,1,3,2,1,1",subsidized_catch_up,145,2
"3,2,1,3,2,1,1",central_cap2,145,1
"3,2,1,3,2,1,1",equity_cap2,145,1
"3,2,1,3,2,1,1",central_full,145,0
"3,1,2,1,2,1,3",bilateral_3pass,181,165
"3,1,2,1,2,1,3",clearinghouse,181,0
"3,1,2,1,2,1,3",public_pool,181,0
"3,1,2,1,2,1,3",subsidized_catch_up,181,16
"3,1,2,1,2,1,3",central_cap2,181,0
"3,1,2,1,2,1,3",equity_cap2,181,0
"3,1,2,1,2,1,3",central_full,181,0
"3,1,1,3,2,1,0",bilateral_3pass,707,707
"3,1,1,3,2,1,0",clearinghouse,707,0
"3,1,1,3,2,1,0",public_pool,707,0
"3,1,1,3,2,1,0",subsidized_catch_up,707,0
"3,1,1,3,2,1,0",central_cap2,707,0
"3,1,1,3,2,1,0",equity_cap2,707,0
"3,1,1,3,2,1,0",central_full,707,0
"3,2,1,3,2,1,0",bilateral_3pass,2295,1753
"3,2,1,3,2,1,0",clearinghouse,2295,212
"3,2,1,3,2,1,0",public_pool,2295,52
"3,2,1,3,2,1,0",subsidized_catch_up,2295,183
"3,2,1,3,2,1,0",central_cap2,2295,50
"3,2,1,3,2,1,0",equity_cap2,2295,45
"3,2,1,3,2,1,0",central_full,2295,0
"3,1,1,3,2,1,3",bilateral_3pass,557,500
"3,1,1,3,2,1,3",clearinghouse,557,0
"3,1,1,3,2,1,3",public_pool,557,0
"3,1,1,3,2,1,3",subsidized_catch_up,557,57
"3,1,1,3,2,1,3",central_cap2,557,0
"3,1,1,3,2,1,3",equity_cap2,557,0
"3,1,1,3,2,1,3",central_full,557,0
"0,2,1,3,0,0,5",bilateral_3pass,191,14
"0,2,1,3,0,0,5",clearinghouse,191,19
"0,2,1,3,0,0,5",public_pool,191,8
"0,2,1,3,0,0,5",subsidized_catch_up,191,124
"0,2,1,3,0,0,5",central_cap2,191,5
"0,2,1,3,0,0,5",equity_cap2,191,21
"0,2,1,3,0,0,5",central_full,191,0
"0,1,1,2,0,0,2",bilateral_3pass,55,55
"0,1,1,2,0,0,2",clearinghouse,55,0
"0,1,1,2,0,0,2",public_pool,55,0
"0,1,1,2,0,0,2",subsidized_catch_up,55,0
"0,1,1,2,0,0,2",central_cap2,55,0
"0,1,1,2,0,0,2",equity_cap2,55,0
"0,1,1,2,0,0,2",central_full,55,0
"0,2,1,3,0,0,0",bilateral_3pass,602,50
"0,2,1,3,0,0,0",clearinghouse,602,48
"0,2,1,3,0,0,0",public_pool,602,10
"0,2,1,3,0,0,0",subsidized_catch_up,602,471
"0,2,1,3,0,0,0",central_cap2,602,16
"0,2,1,3,0,0,0",equity_cap2,602,7
"0,2,1,3,0,0,0",central_full,602,0
"0,1,2,3,0,1,1",bilateral_3pass,152,146
"0,1,2,3,0,1,1",clearinghouse,152,6
"0,1,2,3,0,1,1",public_pool,152,0
"0,1,2,3,0,1,1",subsidized_catch_up,152,0
"0,1,2,3,0,1,1",central_cap2,152,0
"0,1,2,3,0,1,1",equity_cap2,152,0
"0,1,2,3,0,1,1",central_full,152,0
"1,2,1,2,1,1,0",bilateral_3pass,988,746
"1,2,1,2,1,1,0",clearinghouse,988,77
"1,2,1,2,1,1,0",public_pool,988,17
"1,2,1,2,1,1,0",subsidized_catch_up,988,100
"1,2,1,2,1,1,0",central_cap2,988,29
"1,2,1,2,1,1,0",equity_cap2,988,19
"1,2,1,2,1,1,0",central_full,988,0
"1,1,2,3,1,1,3",bilateral_3pass,177,155
"1,1,2,3,1,1,3",clearinghouse,177,0
