baseline_policy,scenario,metric,n_pairs,target_policy,mean_learned_minus_baseline,mean_target_minus_baseline,ci95_low,ci95_high,seed_clustered_ci95_low,seed_clustered_ci95_high,share_target_higher,share_learned_higher
frequency_informed_random,mixed,final_mean_score,100,learned_q,0.08400000000000013,0.08400000000000013,-0.9882500000000001,1.0860999999999998,-0.9882500000000001,1.0860999999999998,0.46,0.46
frequency_informed_random,mixed,final_min_score,100,learned_q,0.26,0.26,-0.93025,1.5302499999999986,-0.93025,1.5302499999999986,0.43,0.43
frequency_informed_random,mixed,bottom_two_mean_score,100,learned_q,0.61,0.61,-0.565,1.8201249999999993,-0.565,1.8201249999999993,0.48,0.48
frequency_informed_random,mixed,final_score_gap,100,learned_q,-1.07,-1.07,-2.94025,0.9002499999999987,-2.94025,0.9002499999999987,0.43,0.43
frequency_informed_random,mixed,gini_score,100,learned_q,-0.018436924697509283,-0.018436924697509283,-0.0411624675948367,0.0029813776656637857,-0.0411624675948367,0.0029813776656637857,0.46,0.46
frequency_informed_random,mixed,final_welfare,100,learned_q,0.1280000000000001,0.1280000000000001,-0.8816500000000002,1.2015,-0.8816500000000002,1.2015,0.5,0.5
frequency_informed_random,mixed,cumulative_capacity_cost,100,learned_q,3.87,3.87,3.15,4.570249999999999,3.15,4.570249999999999,0.79,0.79
frequency_informed_random,need_based_to_competitive,final_total_score,100,learned_q,-0.2,-0.2,-5.031000000000001,4.760249999999998,-5.031000000000001,4.760249999999998,0.57,0.57
frequency_informed_random,need_based_to_competitive,final_mean_score,100,learned_q,-0.03999999999999977,-0.03999999999999977,-0.9919999999999995,0.9241999999999989,-0.9919999999999995,0.9241999999999989,0.57,0.57
frequency_informed_random,need_based_to_competitive,final_min_score,100,learned_q,-0.14,-0.14,-1.31,0.96,-1.31,0.96,0.46,0.46
frequency_informed_random,need_based_to_competitive,bottom_two_mean_score,100,learned_q,0.095,0.095,-0.88525,1.0951249999999992,-0.88525,1.0951249999999992,0.5,0.5
frequency_informed_random,need_based_to_competitive,final_score_gap,100,learned_q,-0.05,-0.05,-2.18075,1.9802499999999985,-2.18075,1.9802499999999985,0.47,0.47
frequency_informed_random,need_based_to_competitive,gini_score,100,learned_q,-0.002713294047675736,-0.002713294047675736,-0.017982996187287912,0.013598219370664065,-0.017982996187287912,0.013598219370664065,0.47,0.47
frequency_informed_random,need_based_to_competitive,final_welfare,100,learned_q,-0.06499999999999989,-0.06499999999999989,-0.9940999999999993,0.8475375000000003,-0.9940999999999993,0.8475375000000003,0.56,0.56
frequency_informed_random,need_based_to_competitive,cumulative_capacity_cost,100,learned_q,4.7,4.7,3.95975,5.440249999999999,3.95975,5.440249999999999,0.89,0.89
frequency_informed_random,cooperative_to_hoarding,final_total_score,100,learned_q,-0.17,-0.17,-5.190250000000001,5.04,-5.190250000000001,5.04,0.49,0.49
frequency_informed_random,cooperative_to_hoarding,final_mean_score,100,learned_q,-0.03399999999999993,-0.03399999999999993,-1.0164,0.9361999999999991,-1.0164,0.9361999999999991,0.49,0.49
