policy_name,policy_label,scenario,scenario_label,n,mean_final_total_score,mean_final_mean_score,mean_final_min_score,mean_bottom_two_mean_score,mean_final_score_gap,mean_gini_score,mean_final_welfare,mean_cumulative_capacity_cost,sd_final_total_score,sd_final_mean_score,sd_final_min_score,sd_bottom_two_mean_score,sd_final_score_gap,sd_gini_score,sd_final_welfare,sd_cumulative_capacity_cost
frequency_informed_random,Frequency-informed random feasible,cooperative,Cooperative,100,121.93,24.386,12.16,15.37,25.53,0.20947498512572008,21.3295,21.01,21.158017798738072,4.231603559747615,5.413637847831598,4.902390676336838,8.171711490677378,0.0713626113149553,4.198533263612015,3.5118702030730478
frequency_informed_random,Frequency-informed random feasible,cooperative_to_hoarding,Cooperative → hoarding,100,102.89,20.578000000000003,9.18,11.485,25.82,0.25238729161533235,17.7285,20.44,20.405928530501114,4.0811857061002215,4.176364471884632,3.923803941806646,7.481127771083229,0.07341854389166076,3.8476757709536606,3.8489668035130484
frequency_informed_random,Frequency-informed random feasible,hoarding,Hoarding,100,103.14,20.628,9.77,12.035,24.5,0.24058363811396563,17.9135,19.86,22.16650489801988,4.433300979603976,4.503320884624922,4.644566174519959,8.549912870960153,0.0874546311221763,4.139565530074114,4.005097761704211
frequency_informed_random,Frequency-informed random feasible,mixed,Mixed,100,109.73,21.945999999999998,10.52,13.0,25.48,0.2338551018405099,19.0895,20.78,22.266002076817664,4.453200415363532,4.69790411037763,4.77419409879084,8.0860023709763,0.08538853298977671,4.2412434747513865,3.4687056940477365
frequency_informed_random,Frequency-informed random feasible,need_based,Need-based,100,139.5,27.9,16.12,19.425,24.68,0.17479271244218655,24.955,20.93,22.694501625733132,4.538900325146627,6.386981709190605,5.523766373543957,7.9237273139258475,0.06519038339099324,4.694061905398901,3.4967661828286056
frequency_informed_random,Frequency-informed random feasible,need_based_to_competitive,Need-based → competitive,100,118.39,23.678,12.45,15.095,24.5,0.2071764761430445,20.871,20.11,23.206101165709228,4.641220233141846,5.3830542192395505,4.898822266214565,7.977873441366731,0.07137283039857217,4.515395549638698,3.7869926236148292
learned_q,Learned Q policy,cooperative,Cooperative,100,120.52,24.104,12.23,15.18,25.34,0.2094031068449919,21.1355,24.38,23.173687621520195,4.634737524304039,5.359509626294503,4.760167215465432,7.696542579416273,0.06390484982896955,4.4832420571986,1.5161087885062399
learned_q,Learned Q policy,cooperative_to_hoarding,Cooperative → hoarding,100,102.72,20.544,8.94,11.505,25.15,0.24737916011301803,17.643,25.09,21.70838873371631,4.341677746743262,4.203942353687943,4.229821377893974,7.877054005018615,0.07927979439667975,4.001666445799093,1.3111410713919802
learned_q,Learned Q policy,hoarding,Hoarding,100,101.98,20.396,9.94,12.085,23.62,0.22906527961871184,17.782,25.27,18.802525082949618,3.760505016589923,4.246971588881621,3.7315573427216964,7.780810375597782,0.07187352685038431,3.495549262485746,1.1446405637587813
learned_q,Learned Q policy,mixed,Mixed,100,110.15,22.03,10.78,13.61,24.41,0.2154181771430006,19.2175,24.65,19.82161609572904,3.9643232191458098,4.1036569057366385,4.034309924343514,8.64694142223688,0.06967656681331262,3.5732195184836777,1.4451241601965692
learned_q,Learned Q policy,need_based,Need-based,100,136.51,27.302,16.12,19.19,23.36,0.1709594891897802,24.506500000000003,24.51,25.86971826735504,5.173943653471009,6.586303511029077,6.009159675029447,8.45250545606736,0.06753134502807766,5.181272878006296,1.2987562037455977
learned_q,Learned Q policy,need_based_to_competitive,Need-based → competitive,100,118.19,23.638,12.31,15.19,24.45,0.20446318209536876,20.805999999999997,24.81,22.76835257079174,4.553670514158347,5.2487516553361475,4.652999467053917,7.2549182203411755,0.0619305729257253,4.452642388787162,1.252835168566065
permanent_bilateral_3pass,Permanent bilateral 3-pass,cooperative,Cooperative,100,122.29,24.458000000000002,10.96,14.735,28.45,0.23102648980936852,21.0835,0.0,23.291865749677726,4.658373149935544,5.8636355806122715,5.2654078856267335,8.697352435881818,0.07941287153764821,4.566534254881933,0.0
permanent_bilateral_3pass,Permanent bilateral 3-pass,cooperative_to_hoarding,Cooperative → hoarding,100,99.28,19.855999999999998,7.94,10.45,26.6,0.2676451542094651,16.877,0.0,19.737202732838607,3.947440546567721,3.865987401151042,3.8477987935383986,7.890667035341578,0.08007179556490943,3.582423563156454,0.0
permanent_bilateral_3pass,Permanent bilateral 3-pass,hoarding,Hoarding,100,91.96,18.392,7.17,9.475,27.41,0.28791360753925554,15.586500000000001,0.0,18.779378331165557,3.7558756662331114,4.022801174918951,3.667613514110898,9.503954519838121,0.08852534641636685,3.4799124495546807,0.0
permanent_bilateral_3pass,Permanent bilateral 3-pass,mixed,Mixed,100,105.76,21.151999999999997,9.66,12.21,26.08,0.24599751765455236,18.279,0.0,21.44672516264477,4.289345032528955,4.65630885157032,4.4073973629741525,8.261728730487441,0.08196863178655339,4.060005597846566,0.0
permanent_bilateral_3pass,Permanent bilateral 3-pass,need_based,Need-based,100,139.32,27.864,14.72,18.385,26.75,0.19073815814773462,24.578000000000003,0.0,24.23782835223328,4.847565670446656,5.911946473972098,5.480385133557787,8.860735085907166,0.06752556210603697,4.6673718081977995,0.0
permanent_bilateral_3pass,Permanent bilateral 3-pass,need_based_to_competitive,Need-based → competitive,100,116.61,23.322,10.43,13.815,26.81,0.22982402996933235,20.099,0.0,23.441694271170554,4.68833885423411,4.606221089708214,4.796176402177893,7.644493627983662,0.07430501775729112,4.3294036960805995,0.0
random_feasible,Uniform random feasible,cooperative,Cooperative,100,121.77,24.354,12.14,15.29,26.24,0.21140956108934655,21.300500000000003,25.57,21.973746962126324,4.394749392425263,5.703126911235326,5.098613398352398,9.856669792274637,0.08278676407623407,4.263312454044164,0.9666666666666668
