episode,seed,scenario,scenario_label,change_round,epsilon,total_reward,mean_absolute_td_error,final_total_score,final_mean_score,final_min_score,bottom_two_mean_score,final_max_score,final_score_gap,final_welfare,final_coordination_capacity,cumulative_capacity_cost,cumulative_workload_units,rounds_bilateral_3pass,rounds_clearinghouse,rounds_public_pool,rounds_subsidized_catch_up,rounds_central_cap2,rounds_equity_cap2,rounds_central_full
29,100029,need_based,Need-based,,0.9947972535654986,18.6,0.968679631171165,114,22.8,6,8.0,50,44,18.6,2,26,157,11,2,1,5,1,0,0
30,100030,hoarding,Hoarding,,0.9946180980478373,24.35,1.3860879107751576,139,27.8,14,19.0,36,22,24.35,3,25,107,10,6,1,1,0,1,1
31,100031,hoarding,Hoarding,,0.9944389591656295,17.85,1.039246248607526,104,20.8,9,11.0,33,24,17.85,1,27,88,10,6,0,2,1,0,1
32,100032,cooperative,Cooperative,,0.9942598369188752,25.299999999999997,1.3468303994736985,132,26.4,22,22.0,36,14,25.299999999999997,3,25,174,11,3,0,4,1,0,1
33,100033,mixed,Mixed,,0.9940807313075747,22.049999999999997,1.2739787002951632,127,25.4,12,15.5,33,21,22.049999999999997,1,26,124,11,4,0,4,0,1,0
34,100034,mixed,Mixed,,0.9939016423317277,17.549999999999997,0.9118411768123835,102,20.4,9,14.0,29,20,17.549999999999997,1,27,85,10,1,0,6,2,0,1
35,100035,cooperative,Cooperative,,0.9937225699913345,17.1,1.1154770745174167,109,21.8,3,7.0,44,41,17.1,1,27,198,11,5,2,1,1,0,0
36,100036,need_based,Need-based,,0.9935435142863946,23.200000000000003,1.2741384241816678,123,24.6,19,19.5,30,11,23.200000000000003,2,26,121,11,6,1,1,0,1,0
37,100037,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9933644752169084,18.950000000000003,1.0474483188207082,103,20.6,14,16.5,31,17,18.950000000000003,3,24,123,12,1,3,2,0,2,0
38,100038,cooperative,Cooperative,,0.9931854527828761,21.15,1.214686302023477,121,24.2,12,16.0,33,21,21.15,2,26,209,11,2,1,3,1,1,1
39,100039,mixed,Mixed,,0.9930064469842971,17.4,0.9607407304714372,96,19.2,12,13.0,29,17,17.4,2,26,115,12,1,3,2,0,2,0
40,100040,mixed,Mixed,,0.9928274578211719,23.299999999999997,1.295081075987341,127,25.4,17,17.5,42,25,23.299999999999997,3,25,129,11,2,1,4,2,0,0
41,100041,need_based_to_competitive,Need-based → competitive,10.0,0.9926484852935,16.950000000000003,0.956741572620482,93,18.6,12,13.0,28,16,16.950000000000003,3,25,99,11,2,0,3,1,3,0
42,100042,need_based_to_competitive,Need-based → competitive,10.0,0.9924695294012821,21.450000000000003,1.2800134374122296,133,26.6,6,10.0,43,37,21.450000000000003,5,22,183,13,2,1,3,0,1,0
43,100043,need_based,Need-based,,0.9922905901445176,22.700000000000003,1.3464266633551343,128,25.6,14,14.0,41,27,22.700000000000003,1,27,145,12,3,0,1,3,1,0
44,100044,need_based_to_competitive,Need-based → competitive,10.0,0.9921116675232068,23.1,1.3811884315923986,139,27.8,9,14.0,50,41,23.1,2,26,92,10,4,0,5,1,0,0
45,100045,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9919327615373494,17.549999999999997,1.0004054437869052,107,21.4,6,11.5,42,36,17.549999999999997,2,26,91,9,3,0,7,1,0,0
46,100046,need_based,Need-based,,0.9917538721869459,27.549999999999997,1.4678176863620414,147,29.4,22,22.0,37,15,27.549999999999997,3,25,162,12,4,2,1,1,0,0
47,100047,mixed,Mixed,,0.9915749994719959,13.950000000000001,0.8842434647723095,88,17.6,3,4.0,55,52,13.950000000000001,3,25,151,12,3,2,3,0,0,0
48,100048,cooperative,Cooperative,,0.9913961433924995,27.6,1.5755756988117355,154,30.8,18,18.5,57,39,27.6,1,27,182,12,5,0,1,0,1,1
49,100049,need_based,Need-based,,0.9912173039484565,22.5,1.1634996540407747,125,25.0,15,17.0,33,18,22.5,4,24,135,10,3,0,7,0,0,0
50,100050,cooperative,Cooperative,,0.9910384811398675,17.65,1.0090680229260376,96,19.2,13,13.5,33,20,17.65,2,26,162,11,2,1,5,1,0,0
51,100051,need_based,Need-based,,0.9908596749667319,19.200000000000003,1.060649418324983,113,22.6,9,11.5,41,32,19.200000000000003,2,26,122,11,6,1,2,0,0,0
52,100052,mixed,Mixed,,0.99068088542905,14.850000000000001,0.7838597152148542,79,15.8,12,13.0,22,10,14.850000000000001,2,25,114,12,5,0,1,0,1,1
53,100053,need_based,Need-based,,0.9905021125268215,30.400000000000002,1.669791052567971,166,33.2,22,23.5,46,24,30.400000000000002,3,25,172,13,2,1,1,1,1,1
54,100054,need_based,Need-based,,0.9903233562600467,27.299999999999997,1.563417582697499,152,30.4,18,20.0,49,31,27.299999999999997,1,27,101,11,1,0,4,2,2,0
55,100055,need_based_to_competitive,Need-based → competitive,10.0,0.9901446166287257,23.1,1.2952035572034606,144,28.8,6,15.5,49,43,23.1,1,27,166,10,5,4,1,0,0,0
56,100056,need_based,Need-based,,0.9899658936328583,19.200000000000003,1.0886702209403925,108,21.6,12,13.0,33,21,19.200000000000003,1,26,121,11,3,1,4,1,0,0
57,100057,mixed,Mixed,,0.9897871872724444,12.3,0.6743099824454389,67,13.4,9,10.5,17,8,12.3,1,27,92,9,7,2,2,0,0,0
58,100058,mixed,Mixed,,0.9896084975474838,20.1,1.1477610584173656,119,23.8,9,9.0,44,35,20.1,4,24,97,11,0,0,6,1,2,0
59,100059,hoarding,Hoarding,,0.9894298244579772,16.65,0.9161636036635903,91,18.2,12,14.5,23,11,16.65,2,26,60,12,0,0,4,0,3,1
60,100060,need_based_to_competitive,Need-based → competitive,10.0,0.9892511680039242,24.5,1.3195618490341392,140,28.0,14,22.0,35,21,24.5,3,24,99,13,0,0,3,1,2,1
61,100061,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9890725281853248,22.1,1.2980432918164464,129,25.8,11,15.5,35,24,22.1,2,26,107,9,1,1,8,1,0,0
62,100062,hoarding,Hoarding,,0.9888939050021789,19.5,1.1203925635704421,120,24.0,6,7.5,46,40,19.5,1,27,73,9,4,0,6,1,0,0
63,100063,need_based_to_competitive,Need-based → competitive,10.0,0.9887152984544866,17.549999999999997,1.0091114638078205,102,20.4,9,11.5,34,25,17.549999999999997,4,24,106,12,3,1,2,1,1,0
64,100064,need_based,Need-based,,0.988536708542248,22.4,1.300374163393346,131,26.2,11,15.5,50,39,22.4,2,26,122,10,4,1,3,1,1,0
65,100065,cooperative,Cooperative,,0.988358135265463,25.75,1.4139234667106932,140,28.0,19,20.5,38,19,25.75,1,27,152,12,4,1,1,1,1,0
66,100066,need_based_to_competitive,Need-based → competitive,10.0,0.9881795786241314,24.950000000000003,1.3391225870068315,148,29.6,11,16.5,41,30,24.950000000000003,1,27,139,11,1,1,5,1,1,0
67,100067,need_based_to_competitive,Need-based → competitive,10.0,0.9880010386182537,16.5,0.9298968458277013,95,19.0,9,10.0,39,30,16.5,2,26,96,12,1,0,1,4,2,0
68,100068,mixed,Mixed,,0.9878225152478296,16.049999999999997,0.8680313091865944,97,19.4,6,10.0,29,23,16.049999999999997,4,24,125,12,4,1,2,1,0,0
69,100069,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.987644008512859,21.35,1.2128203504123594,119,23.8,14,14.0,44,30,21.35,2,26,125,10,4,0,5,0,1,0
70,100070,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9874655184133418,17.700000000000003,1.1184334194382743,103,20.6,9,10.0,52,43,17.700000000000003,2,26,125,9,4,0,4,0,2,1
71,100071,cooperative,Cooperative,,0.9872870449492785,19.799999999999997,1.252862928329672,122,24.4,6,10.0,51,45,19.799999999999997,2,26,179,12,2,2,3,0,1,0
72,100072,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9871085881206688,11.899999999999999,0.7933512946170627,71,14.2,5,7.0,25,20,11.899999999999999,5,23,72,12,0,2,5,0,1,0
73,100073,cooperative,Cooperative,,0.9869301479275128,21.200000000000003,1.2209773128850245,118,23.6,14,14.0,38,24,21.200000000000003,3,25,127,11,1,0,6,0,2,0
74,100074,cooperative,Cooperative,,0.9867517243698103,22.700000000000003,1.3014887629926215,128,25.6,14,16.5,38,24,22.700000000000003,4,24,139,12,1,0,5,2,0,0
75,100075,hoarding,Hoarding,,0.9865733174475612,12.149999999999999,0.7714966379593682,71,14.2,6,10.0,19,13,12.149999999999999,1,27,91,10,3,1,3,2,1,0
76,100076,need_based_to_competitive,Need-based → competitive,10.0,0.9863949271607659,21.799999999999997,1.2081996245149398,117,23.4,17,17.0,38,21,21.799999999999997,2,26,119,10,6,0,3,0,0,1
77,100077,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9862165535094243,16.65,0.9157339015659935,91,18.2,12,13.5,23,11,16.65,1,25,122,11,6,1,1,1,0,0
78,100078,need_based_to_competitive,Need-based → competitive,10.0,0.9860381964935363,14.700000000000001,0.8033849623186857,88,17.6,6,7.5,31,25,14.700000000000001,3,25,104,12,3,1,1,1,2,0
79,100079,cooperative,Cooperative,,0.9858598561131017,22.4,1.3789883908346712,126,25.2,14,14.0,44,30,22.4,4,24,133,12,1,0,5,1,0,1
80,100080,cooperative,Cooperative,,0.9856815323681208,21.65,1.2411205167412447,126,25.2,11,12.5,41,30,21.65,3,25,221,11,4,1,4,0,0,0
81,100081,cooperative,Cooperative,,0.9855032252585936,19.1,1.2613960501882873,104,20.8,14,14.0,36,22,19.1,2,26,156,10,2,0,6,1,0,1
82,100082,mixed,Mixed,,0.9853249347845201,24.049999999999997,1.3656911890399812,132,26.4,17,19.5,33,16,24.049999999999997,1,26,116,12,2,0,2,4,0,0
83,100083,hoarding,Hoarding,,0.9851466609458999,17.25,1.0785631716088582,100,20.0,9,11.5,36,27,17.25,5,23,64,12,2,2,1,0,3,0
84,100084,mixed,Mixed,,0.9849684037427335,18.950000000000003,1.1597539217108188,103,20.6,14,14.0,30,16,18.950000000000003,2,26,161,11,3,0,5,0,0,1
85,100085,need_based,Need-based,,0.9847901631750208,19.1,1.0477688907419227,109,21.8,11,14.0,35,24,19.1,5,23,124,11,3,0,4,0,2,0
86,100086,cooperative,Cooperative,,0.9846119392427616,25.450000000000003,1.4864215547439077,138,27.6,19,20.5,38,19,25.450000000000003,3,24,165,12,1,0,5,0,1,1
87,100087,mixed,Mixed,,0.9844337319459558,18.799999999999997,1.1232311932096373,102,20.4,14,15.5,32,18,18.799999999999997,1,27,115,12,2,0,2,0,2,2
88,100088,mixed,Mixed,,0.9842555412846039,22.450000000000003,1.321607356981521,118,23.6,19,19.0,30,11,22.450000000000003,3,25,144,12,4,0,2,1,0,1
89,100089,hoarding,Hoarding,,0.9840773672587056,17.15,0.9712055308123059,101,20.2,8,11.0,35,27,17.15,4,24,59,12,1,1,3,2,1,0
90,100090,mixed,Mixed,,0.983899209868261,12.600000000000001,0.8912133359095072,74,14.8,6,7.5,31,25,12.600000000000001,1,27,138,11,4,3,1,0,1,0
91,100091,hoarding,Hoarding,,0.9837210691132696,23.15,1.316271225795075,126,25.2,17,17.5,39,22,23.15,2,26,77,9,4,1,4,0,2,0
92,100092,cooperative,Cooperative,,0.9835429449937321,22.799999999999997,1.2086813025924452,147,29.4,3,12.5,55,52,22.799999999999997,4,23,195,13,4,0,2,0,0,1
93,100093,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9833648375096483,16.5,1.061567918610685,95,19.0,9,11.5,28,19,16.5,3,25,142,11,1,2,6,0,0,0
94,100094,need_based_to_competitive,Need-based → competitive,10.0,0.983186746661018,18.35,1.0109119105521234,119,23.8,2,11.0,42,40,18.35,2,26,112,12,2,0,3,1,2,0
95,100095,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9830086724478413,12.600000000000001,0.803094749811725,74,14.8,6,6.0,27,21,12.600000000000001,2,26,100,12,5,0,1,1,0,1
96,100096,hoarding,Hoarding,,0.9828306148701181,15.600000000000001,1.059427241515864,94,18.8,6,6.0,48,42,15.600000000000001,3,25,73,11,5,0,3,0,0,1
97,100097,need_based,Need-based,,0.9826525739278487,28.849999999999998,1.5497667774903094,164,32.8,17,26.0,38,21,28.849999999999998,1,27,140,11,3,1,4,0,1,0
98,100098,mixed,Mixed,,0.9824745496210329,18.299999999999997,1.0309048187458132,107,21.4,9,13.0,27,18,18.299999999999997,1,27,99,11,3,0,4,0,2,0
99,100099,need_based_to_competitive,Need-based → competitive,10.0,0.9822965419496706,27.049999999999997,1.5887130205371471,147,29.4,20,24.0,33,13,27.049999999999997,2,24,115,11,2,0,5,1,1,0
100,100100,need_based_to_competitive,Need-based → competitive,10.0,0.9821185509137619,20.1,1.1811918078479844,114,22.8,12,15.5,30,18,20.1,2,26,120,12,2,1,2,2,0,1
101,100101,cooperative,Cooperative,,0.9819405765133068,14.600000000000001,0.9184570526187732,79,15.8,11,11.0,26,15,14.600000000000001,3,25,113,13,1,1,2,1,1,1
102,100102,need_based_to_competitive,Need-based → competitive,10.0,0.9817626187483055,13.3,0.8520337029594204,72,14.4,10,10.5,20,10,13.3,2,26,118,12,3,2,0,1,1,1
103,100103,need_based_to_competitive,Need-based → competitive,10.0,0.9815846776187577,25.75,1.4702899204771247,140,28.0,19,23.5,33,14,25.75,1,27,110,11,3,0,4,0,2,0
104,100104,need_based,Need-based,,0.9814067531246633,19.549999999999997,1.1145923756202725,107,21.4,14,16.0,28,14,19.549999999999997,3,25,211,11,4,2,2,1,0,0
105,100105,cooperative,Cooperative,,0.9812288452660227,26.15,1.3981503134036428,146,29.2,17,21.0,46,29,26.15,3,25,150,12,4,1,3,0,0,0
106,100106,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9810509540428359,14.700000000000001,0.944439936042952,83,16.6,9,10.0,37,28,14.700000000000001,3,25,72,10,2,1,6,0,0,1
107,100107,hoarding,Hoarding,,0.9808730794551025,17.9,1.033589313823309,96,19.2,14,14.5,28,14,17.9,3,25,59,9,3,2,5,1,0,0
108,100108,need_based,Need-based,,0.9806952215028226,31.049999999999997,1.643538219559084,157,31.4,30,30.0,35,5,31.049999999999997,1,27,137,12,2,0,4,1,0,1
109,100109,need_based,Need-based,,0.9805173801859965,32.55,1.7027445876593768,172,34.4,27,30.0,44,17,32.55,3,25,204,12,0,1,4,0,2,1
110,100110,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.980339555504624,19.85,1.189200593349511,114,22.8,11,14.0,36,25,19.85,3,25,133,10,3,1,4,0,2,0
111,100111,need_based,Need-based,,0.9801617474587052,24.25,1.3535111428504254,130,26.0,19,19.0,37,18,24.25,4,24,111,11,5,0,2,1,1,0
112,100112,need_based,Need-based,,0.9799839560482398,26.049999999999997,1.4470869327333242,137,27.4,22,22.0,36,14,26.049999999999997,2,26,109,11,3,0,3,0,3,0
113,100113,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.979806181273228,14.549999999999999,0.9312949532987428,87,17.4,6,9.5,26,20,14.549999999999999,3,25,124,12,0,1,2,5,0,0
114,100114,mixed,Mixed,,0.97962842313367,20.549999999999997,1.3394693348457696,122,24.4,9,9.0,47,38,20.549999999999997,1,27,80,9,8,0,1,1,0,1
115,100115,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9794506816295655,19.200000000000003,1.2638944624030433,118,23.6,6,8.5,50,44,19.200000000000003,4,24,155,13,2,1,0,2,2,0
116,100116,need_based_to_competitive,Need-based → competitive,10.0,0.9792729567609146,29.35,1.6623724518256882,154,30.8,25,26.0,42,17,29.35,2,26,102,12,3,0,2,0,3,0
117,100117,need_based_to_competitive,Need-based → competitive,10.0,0.9790952485277173,19.35,1.1165014635020785,119,23.8,6,7.5,42,36,19.35,3,25,123,12,2,1,4,0,1,0
118,100118,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9789175569299737,15.75,1.0110599117929506,90,18.0,9,11.5,33,24,15.75,2,26,126,12,1,0,2,3,2,0
119,100119,mixed,Mixed,,0.9787398819676837,15.0,0.9891667644225512,95,19.0,3,8.5,33,30,15.0,1,26,137,13,2,1,1,0,2,1
120,100120,cooperative,Cooperative,,0.9785622236408473,18.299999999999997,1.1067819891366084,107,21.4,9,11.5,47,38,18.299999999999997,3,25,167,11,5,0,2,2,0,0
121,100121,need_based,Need-based,,0.9783845819494643,23.450000000000003,1.4745376439590434,133,26.6,14,17.0,40,26,23.450000000000003,3,25,99,11,4,0,3,0,2,0
122,100122,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9782069568935351,19.700000000000003,1.1684402880325524,113,22.6,11,12.5,33,22,19.700000000000003,4,24,117,12,1,2,3,1,1,0
123,100123,hoarding,Hoarding,,0.9780293484730596,12.149999999999999,0.8720950562730421,76,15.2,3,4.5,31,28,12.149999999999999,1,27,66,9,8,0,0,1,1,1
124,100124,mixed,Mixed,,0.9778517566880377,16.65,1.0392380285529872,96,19.2,9,9.0,34,25,16.65,2,26,112,11,3,0,4,0,2,0
125,100125,need_based,Need-based,,0.9776741815384691,19.1,1.140671663667461,109,21.8,11,14.5,33,22,19.1,3,25,126,12,0,1,5,0,1,1
126,100126,mixed,Mixed,,0.9774966230243545,19.85,1.1818959832143712,109,21.8,14,15.5,33,19,19.85,2,26,84,11,1,0,5,1,1,1
127,100127,hoarding,Hoarding,,0.9773190811456933,11.7,0.8644295784058109,73,14.6,3,4.5,39,36,11.7,3,25,48,10,5,2,1,1,0,1
128,100128,cooperative,Cooperative,,0.9771415559024857,23.299999999999997,1.3481707363252708,132,26.4,14,19.5,39,25,23.299999999999997,2,26,176,12,5,0,1,0,2,0
129,100129,cooperative,Cooperative,,0.9769640472947316,17.4,0.9732298158305401,106,21.2,6,12.5,33,27,17.4,4,24,160,10,2,1,7,0,0,0
130,100130,need_based_to_competitive,Need-based → competitive,10.0,0.9767865553224314,22.35,1.2967212873877827,139,27.8,6,18.0,37,31,22.35,2,26,116,13,1,1,2,0,2,1
131,100131,hoarding,Hoarding,,0.9766090799855848,21.65,1.3415357671160677,126,25.2,11,16.5,36,25,21.65,2,26,93,11,1,0,5,2,1,0
132,100132,cooperative,Cooperative,,0.9764316212841917,30.0,1.6760343074529913,165,33.0,21,24.0,41,20,30.0,3,25,245,12,4,2,2,0,0,0
133,100133,cooperative,Cooperative,,0.9762541792182523,27.650000000000002,1.583324491531293,161,32.2,14,17.0,50,36,27.650000000000002,3,25,192,12,3,2,2,0,1,0
134,100134,need_based,Need-based,,0.9760767537877661,21.15,1.2390338158688392,116,23.2,15,15.0,33,18,21.15,2,26,143,10,4,1,4,1,0,0
135,100135,mixed,Mixed,,0.975899344992734,20.85,1.256273172978305,124,24.8,9,10.5,44,35,20.85,2,26,114,11,5,0,3,0,0,1
136,100136,hoarding,Hoarding,,0.9757219528331553,18.299999999999997,1.1108209202164328,112,22.4,6,11.5,35,29,18.299999999999997,1,27,68,10,5,1,2,1,1,0
137,100137,hoarding,Hoarding,,0.9755445773090304,19.049999999999997,1.215910717463814,122,24.4,3,9.0,38,35,19.049999999999997,3,25,95,11,3,0,4,2,0,0
138,100138,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9753672184203588,18.450000000000003,1.19571981911018,103,20.6,12,13.5,30,18,18.450000000000003,1,27,109,9,4,0,4,0,3,0
139,100139,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.975189876167141,14.0,0.9123514294686057,75,15.0,11,11.5,20,9,14.0,2,26,85,11,2,0,3,3,0,1
140,100140,need_based_to_competitive,Need-based → competitive,10.0,0.9750125505493769,21.450000000000003,1.1784363987509674,133,26.6,6,8.5,49,43,21.450000000000003,2,26,114,12,1,0,3,3,0,1
141,100141,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9748352415670662,23.549999999999997,1.3749675249084325,132,26.4,15,16.0,47,32,23.549999999999997,2,26,137,10,3,0,5,1,0,1
142,100142,need_based_to_competitive,Need-based → competitive,10.0,0.9746579492202091,21.299999999999997,1.1683856944861908,127,25.4,9,10.0,46,37,21.299999999999997,1,27,140,11,3,1,3,1,0,1
143,100143,cooperative,Cooperative,,0.9744806735088059,19.4,1.240318885089891,106,21.2,14,14.0,39,25,19.4,3,25,138,10,3,1,5,1,0,0
144,100144,mixed,Mixed,,0.9743034144328562,24.049999999999997,1.4083940913919755,132,26.4,17,18.0,34,17,24.049999999999997,1,27,130,10,7,0,2,0,0,1
145,100145,need_based,Need-based,,0.97412617199236,28.15,1.7510693436566638,156,31.2,19,20.5,41,22,28.15,2,26,211,11,2,2,4,1,0,0
146,100146,mixed,Mixed,,0.9739489461873173,24.5,1.4130365740997637,140,28.0,14,15.5,47,33,24.5,1,27,108,8,6,0,5,1,0,0
147,100147,need_based,Need-based,,0.9737717370177283,29.049999999999997,1.5507066906717792,157,31.4,22,26.0,38,16,29.049999999999997,1,27,115,11,3,0,4,0,2,0
148,100148,cooperative,Cooperative,,0.9735945444835932,16.5,1.2421901809919562,95,19.0,9,11.5,29,20,16.5,1,25,141,13,2,0,1,1,3,0
149,100149,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9734173685849115,21.0,1.206117630140565,130,26.0,6,14.0,39,33,21.0,4,23,141,12,0,0,6,0,1,1
150,100150,need_based_to_competitive,Need-based → competitive,10.0,0.9732402093216834,27.700000000000003,1.587317415749783,153,30.6,19,20.5,49,30,27.700000000000003,1,26,170,12,3,1,2,1,0,1
151,100151,hoarding,Hoarding,,0.9730630666939087,28.450000000000003,1.4966868474258335,153,30.6,22,23.5,41,19,28.450000000000003,1,27,111,10,6,1,0,3,0,0
152,100152,mixed,Mixed,,0.9728859407015878,18.65,1.0795113227059165,101,20.2,14,15.5,34,20,18.65,3,24,100,12,4,0,1,3,0,0
153,100153,mixed,Mixed,,0.9727088313447206,13.5,0.8511184626397498,80,16.0,6,7.5,32,26,13.5,3,25,109,11,3,0,5,1,0,0
154,100154,hoarding,Hoarding,,0.9725317386233071,17.85,1.0658681286932947,99,19.8,12,13.0,39,27,17.85,2,26,71,11,3,0,5,0,0,1
155,100155,cooperative,Cooperative,,0.9723546625373469,20.35,1.226299089456978,129,25.8,4,10.5,42,38,20.35,1,27,184,12,4,1,1,0,1,1
156,100156,mixed,Mixed,,0.9721776030868404,21.35,1.2151009592139586,114,22.8,17,17.0,42,25,21.35,4,24,123,11,6,0,2,0,1,0
157,100157,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9720005602717877,21.35,1.305874003123574,109,21.8,20,20.0,25,5,21.35,2,26,99,10,3,1,4,2,0,0
158,100158,hoarding,Hoarding,,0.9718235340921885,16.85,0.9845421227423989,94,18.8,11,14.0,30,19,16.85,5,23,74,12,3,0,2,1,2,0
