episode,seed,scenario,scenario_label,change_round,epsilon,total_reward,mean_absolute_td_error,final_total_score,final_mean_score,final_min_score,bottom_two_mean_score,final_max_score,final_score_gap,final_welfare,final_coordination_capacity,cumulative_capacity_cost,cumulative_workload_units,rounds_bilateral_3pass,rounds_clearinghouse,rounds_public_pool,rounds_subsidized_catch_up,rounds_central_cap2,rounds_equity_cap2,rounds_central_full
,500043,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,19.049999999999997,,117,23.4,6,11.5,39,33,19.049999999999997,1,27,121,11,3,1,5,0,0,0
,500044,need_based,Need-based,,0.0,26.75,,150,30.0,17,21.0,44,27,26.75,4,24,144,11,3,0,5,0,0,1
,500044,cooperative,Cooperative,,0.0,24.799999999999997,,137,27.4,17,18.5,46,29,24.799999999999997,2,26,226,12,2,0,4,1,0,1
,500044,hoarding,Hoarding,,0.0,13.95,,78,15.6,9,10.0,22,13,13.95,5,23,67,12,1,0,5,0,1,1
,500044,mixed,Mixed,,0.0,17.1,,104,20.8,6,11.5,39,33,17.1,1,27,114,11,5,0,3,0,0,1
,500044,need_based_to_competitive,Need-based → competitive,10.0,0.0,24.65,,136,27.2,17,20.0,38,21,24.65,4,24,118,13,2,0,3,0,0,2
,500044,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,17.700000000000003,,98,19.6,12,13.0,41,29,17.700000000000003,2,25,159,12,3,0,3,0,1,1
,500045,need_based,Need-based,,0.0,11.45,,68,13.6,5,7.0,26,21,11.45,2,26,74,11,2,0,5,0,0,2
,500045,cooperative,Cooperative,,0.0,19.35,,119,23.8,6,12.0,35,29,19.35,2,26,117,12,1,1,3,2,0,1
,500045,hoarding,Hoarding,,0.0,17.25,,100,20.0,9,11.0,36,27,17.25,3,25,72,12,1,0,5,0,1,1
,500045,mixed,Mixed,,0.0,13.350000000000001,,79,15.8,6,7.5,27,21,13.350000000000001,5,23,83,12,3,0,2,0,2,1
,500045,need_based_to_competitive,Need-based → competitive,10.0,0.0,9.100000000000001,,59,11.8,1,7.0,17,16,9.100000000000001,5,23,74,12,1,1,4,0,0,2
,500045,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,14.399999999999999,,86,17.2,6,9.0,25,19,14.399999999999999,2,26,93,11,1,1,6,0,0,1
,500046,need_based,Need-based,,0.0,25.799999999999997,,157,31.4,9,13.0,52,43,25.799999999999997,4,24,171,13,3,1,1,0,0,2
,500046,cooperative,Cooperative,,0.0,21.200000000000003,,118,23.6,14,17.0,29,15,21.200000000000003,2,26,227,12,2,2,3,0,0,1
,500046,hoarding,Hoarding,,0.0,19.25,,105,21.0,14,14.0,38,24,19.25,2,26,66,10,3,0,5,0,1,1
,500046,mixed,Mixed,,0.0,18.65,,106,21.2,11,12.5,33,22,18.65,2,26,87,12,3,0,2,0,2,1
,500046,need_based_to_competitive,Need-based → competitive,10.0,0.0,24.799999999999997,,142,28.4,14,19.5,44,30,24.799999999999997,5,23,122,13,2,1,2,0,0,2
,500046,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,22.700000000000003,,128,25.6,14,19.5,33,19,22.700000000000003,4,24,160,12,1,1,5,0,0,1
,500047,need_based,Need-based,,0.0,21.75,,120,24.0,15,16.0,36,21,21.75,3,25,125,12,3,1,2,1,0,1
,500047,cooperative,Cooperative,,0.0,25.0,,135,27.0,19,19.5,41,22,25.0,5,23,198,13,1,1,3,0,0,2
,500047,hoarding,Hoarding,,0.0,17.25,,100,20.0,9,10.5,28,19,17.25,2,26,73,11,3,1,4,1,0,0
,500047,mixed,Mixed,,0.0,17.549999999999997,,102,20.4,9,10.5,47,38,17.549999999999997,2,26,119,12,3,1,2,1,1,0
,500047,need_based_to_competitive,Need-based → competitive,10.0,0.0,26.9,,146,29.2,20,22.5,38,18,26.9,5,23,110,13,0,1,4,1,0,1
,500047,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,19.25,,105,21.0,14,14.0,38,24,19.25,1,27,170,12,1,1,4,0,0,2
,500048,need_based,Need-based,,0.0,18.299999999999997,,117,23.4,3,8.5,52,49,18.299999999999997,2,26,123,11,4,0,3,0,1,1
,500048,cooperative,Cooperative,,0.0,21.700000000000003,,128,25.6,10,14.5,49,39,21.700000000000003,4,24,142,12,2,0,5,0,0,1
,500048,hoarding,Hoarding,,0.0,15.600000000000001,,89,17.8,9,11.5,33,24,15.600000000000001,2,26,65,12,4,0,2,0,1,1
,500048,mixed,Mixed,,0.0,20.549999999999997,,117,23.4,12,14.5,40,28,20.549999999999997,1,27,73,12,2,0,3,0,1,2
,500048,need_based_to_competitive,Need-based → competitive,10.0,0.0,16.5,,100,20.0,6,7.0,44,38,16.5,5,23,95,12,3,0,3,0,1,1
,500048,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,20.450000000000003,,113,22.6,14,14.0,39,25,20.450000000000003,1,27,108,11,2,0,6,0,0,1
,500049,need_based,Need-based,,0.0,33.95,,183,36.6,26,30.5,44,18,33.95,2,26,166,12,3,0,3,1,0,1
,500049,cooperative,Cooperative,,0.0,22.700000000000003,,123,24.6,17,19.5,36,19,22.700000000000003,2,26,149,12,1,1,4,1,0,1
,500049,hoarding,Hoarding,,0.0,18.9,,106,21.2,12,14.5,34,22,18.9,2,26,79,13,2,0,2,0,1,2
,500049,mixed,Mixed,,0.0,24.5,,135,27.0,17,17.0,38,21,24.5,4,24,125,13,1,0,4,0,1,1
,500049,need_based_to_competitive,Need-based → competitive,10.0,0.0,29.150000000000002,,161,32.2,20,23.0,46,26,29.150000000000002,3,25,120,12,2,0,4,1,0,1
,500049,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,17.5,,100,20.0,10,12.0,26,16,17.5,2,26,105,11,1,1,6,1,0,0
,500050,need_based,Need-based,,0.0,39.349999999999994,,204,40.8,35,36.5,55,20,39.349999999999994,2,26,164,12,2,0,3,1,1,1
,500050,cooperative,Cooperative,,0.0,23.9,,141,28.2,11,15.0,45,34,23.9,4,24,176,11,4,0,3,1,1,0
,500050,hoarding,Hoarding,,0.0,16.049999999999997,,97,19.4,6,10.0,30,24,16.049999999999997,5,23,89,12,3,1,2,0,1,1
,500050,mixed,Mixed,,0.0,16.85,,94,18.8,11,11.0,27,16,16.85,3,25,97,12,2,0,3,0,2,1
,500050,need_based_to_competitive,Need-based → competitive,10.0,0.0,30.549999999999997,,167,33.4,22,24.5,49,27,30.549999999999997,4,24,149,12,2,0,4,0,1,1
,500050,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,22.1,,124,24.8,14,15.5,36,22,22.1,4,24,110,11,4,0,3,1,1,0
,500051,need_based,Need-based,,0.0,15.0,,95,19.0,3,8.5,35,32,15.0,3,25,149,11,3,1,5,0,0,0
,500051,cooperative,Cooperative,,0.0,15.299999999999999,,92,18.4,6,6.0,39,33,15.299999999999999,1,27,186,11,4,1,4,0,0,0
,500051,hoarding,Hoarding,,0.0,13.5,,80,16.0,6,8.5,35,29,13.5,3,25,78,11,1,1,6,1,0,0
,500051,mixed,Mixed,,0.0,15.5,,85,17.0,11,11.0,25,14,15.5,3,25,95,12,1,1,4,2,0,0
,500051,need_based_to_competitive,Need-based → competitive,10.0,0.0,13.5,,80,16.0,6,8.5,24,18,13.5,1,27,81,10,2,1,7,0,0,0
,500051,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,20.450000000000003,,113,22.6,14,14.0,33,19,20.450000000000003,1,27,128,11,3,1,5,0,0,0
,500052,need_based,Need-based,,0.0,22.799999999999997,,137,27.4,9,15.5,47,38,22.799999999999997,6,22,126,12,2,1,5,0,0,0
,500052,cooperative,Cooperative,,0.0,22.85,,129,25.8,14,16.5,44,30,22.85,1,27,162,11,3,1,3,1,1,0
,500052,hoarding,Hoarding,,0.0,17.4,,101,20.2,9,13.0,33,24,17.4,3,25,70,11,2,1,5,1,0,0
,500052,mixed,Mixed,,0.0,24.15,,146,29.2,9,17.0,43,34,24.15,4,24,134,12,2,1,4,1,0,0
,500052,need_based_to_competitive,Need-based → competitive,10.0,0.0,22.25,,120,24.0,17,17.0,45,28,22.25,1,27,72,10,3,1,6,0,0,0
,500052,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,19.950000000000003,,118,23.6,9,13.0,40,31,19.950000000000003,4,24,119,12,1,1,5,0,1,0
,500053,need_based,Need-based,,0.0,22.200000000000003,,138,27.6,6,11.5,50,44,22.200000000000003,2,26,122,11,2,1,4,0,0,2
,500053,cooperative,Cooperative,,0.0,11.75,,75,15.0,2,6.5,39,37,11.75,3,25,104,10,2,1,7,0,0,0
