branch_state_id,base_game_id,seed,scenario,round,first_action,q_chosen_action,continuation_policy,replication,split,final_total_score,final_mean_score,final_min_score,bottom_two_mean_score,final_score_gap,gini_score,final_welfare,cumulative_capacity_cost
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,learned_q,34,evaluation,124.0,24.8,19.0,19.0,12.0,0.11290322580645173,23.35,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,learned_q,35,evaluation,124.0,24.8,19.0,19.0,12.0,0.11290322580645173,23.35,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,learned_q,36,evaluation,124.0,24.8,19.0,19.0,12.0,0.11290322580645173,23.35,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,learned_q,37,evaluation,124.0,24.8,19.0,19.0,12.0,0.11290322580645173,23.35,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,learned_q,38,evaluation,124.0,24.8,19.0,19.0,12.0,0.11290322580645173,23.35,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,learned_q,39,evaluation,124.0,24.8,19.0,19.0,12.0,0.11290322580645173,23.35,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,random_feasible,0,selection,122.0,24.4,11.0,16.5,23.0,0.17049180327868863,21.049999999999997,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,random_feasible,1,selection,137.0,27.4,22.0,23.5,13.0,0.09051094890510947,26.049999999999997,25.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,random_feasible,2,selection,123.0,24.6,20.0,21.5,10.0,0.07804878048780495,23.450000000000003,27.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,random_feasible,3,selection,122.0,24.4,11.0,15.0,28.0,0.21311475409836067,21.049999999999997,26.0
1,1,700000,need_based,3,bilateral_3pass,bilateral_3pass,random_feasible,4,selection,132.0,26.4,17.0,18.0,16.0,0.1393939393939394,24.049999999999997,27.0
