branch_state_id,base_game_id,seed,scenario,round,continuation_policy,comparison,selection_best_action,selection_second_action,q_chosen_action,mean_difference,ci95_low,ci95_high,ci_excludes_zero,paired_eval_replications,q_equals_selection_best
3,1,700000,need_based,16,permanent_bilateral_3pass,q_chosen_minus_bilateral,subsidized_catch_up,bilateral_3pass,central_cap2,-0.8000000000000043,-0.8000000000000043,-0.8000000000000043,1,20,0
3,1,700000,need_based,16,random_feasible,selected_best_minus_selected_second,public_pool,bilateral_3pass,central_cap2,-0.41999999999999815,-2.986249999999998,2.393749999999999,0,20,0
3,1,700000,need_based,16,random_feasible,selected_best_minus_q_chosen,public_pool,bilateral_3pass,central_cap2,0.3249999999999993,-1.1524999999999985,1.8337499999999989,0,20,0
3,1,700000,need_based,16,random_feasible,selected_best_minus_bilateral,public_pool,bilateral_3pass,central_cap2,-0.41999999999999815,-2.986249999999998,2.393749999999999,0,20,0
3,1,700000,need_based,16,random_feasible,q_chosen_minus_bilateral,public_pool,bilateral_3pass,central_cap2,-0.7449999999999974,-2.75,0.7025000000000026,0,20,0
4,2,700001,need_based,3,learned_q,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,learned_q,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,learned_q,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,learned_q,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,permanent_bilateral_3pass,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,permanent_bilateral_3pass,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,permanent_bilateral_3pass,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,random_feasible,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,random_feasible,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,random_feasible,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
4,2,700001,need_based,3,random_feasible,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
5,2,700001,need_based,10,learned_q,selected_best_minus_selected_second,subsidized_catch_up,bilateral_3pass,bilateral_3pass,0.19999999999999574,0.19999999999999574,0.19999999999999574,1,20,0
5,2,700001,need_based,10,learned_q,selected_best_minus_q_chosen,subsidized_catch_up,bilateral_3pass,bilateral_3pass,0.19999999999999574,0.19999999999999574,0.19999999999999574,1,20,0
5,2,700001,need_based,10,learned_q,selected_best_minus_bilateral,subsidized_catch_up,bilateral_3pass,bilateral_3pass,0.19999999999999574,0.19999999999999574,0.19999999999999574,1,20,0
5,2,700001,need_based,10,learned_q,q_chosen_minus_bilateral,subsidized_catch_up,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,0
5,2,700001,need_based,10,permanent_bilateral_3pass,selected_best_minus_selected_second,subsidized_catch_up,clearinghouse,bilateral_3pass,3.950000000000003,3.950000000000003,3.950000000000003,1,20,0
5,2,700001,need_based,10,permanent_bilateral_3pass,selected_best_minus_q_chosen,subsidized_catch_up,clearinghouse,bilateral_3pass,5.4,5.399999999999999,5.399999999999999,1,20,0
5,2,700001,need_based,10,permanent_bilateral_3pass,selected_best_minus_bilateral,subsidized_catch_up,clearinghouse,bilateral_3pass,5.4,5.399999999999999,5.399999999999999,1,20,0
5,2,700001,need_based,10,permanent_bilateral_3pass,q_chosen_minus_bilateral,subsidized_catch_up,clearinghouse,bilateral_3pass,0.0,0.0,0.0,0,20,0
5,2,700001,need_based,10,random_feasible,selected_best_minus_selected_second,bilateral_3pass,subsidized_catch_up,bilateral_3pass,4.27,-1.0425000000000035,9.562499999999993,0,20,1
5,2,700001,need_based,10,random_feasible,selected_best_minus_q_chosen,bilateral_3pass,subsidized_catch_up,bilateral_3pass,0.0,0.0,0.0,0,20,1
5,2,700001,need_based,10,random_feasible,selected_best_minus_bilateral,bilateral_3pass,subsidized_catch_up,bilateral_3pass,0.0,0.0,0.0,0,20,1
5,2,700001,need_based,10,random_feasible,q_chosen_minus_bilateral,bilateral_3pass,subsidized_catch_up,bilateral_3pass,0.0,0.0,0.0,0,20,1
6,2,700001,need_based,16,learned_q,selected_best_minus_selected_second,central_cap2,equity_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,0
6,2,700001,need_based,16,learned_q,selected_best_minus_q_chosen,central_cap2,equity_cap2,bilateral_3pass,3.85,3.8500000000000014,3.8500000000000014,1,20,0
6,2,700001,need_based,16,learned_q,selected_best_minus_bilateral,central_cap2,equity_cap2,bilateral_3pass,3.85,3.8500000000000014,3.8500000000000014,1,20,0
6,2,700001,need_based,16,learned_q,q_chosen_minus_bilateral,central_cap2,equity_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,0
6,2,700001,need_based,16,permanent_bilateral_3pass,selected_best_minus_selected_second,central_cap2,equity_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,0
6,2,700001,need_based,16,permanent_bilateral_3pass,selected_best_minus_q_chosen,central_cap2,equity_cap2,bilateral_3pass,1.1000000000000014,1.1000000000000014,1.1000000000000014,1,20,0
